step,Episode_Metrics/bridge/balance_debt,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/entry_speed,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/handoff,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/handoff,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
6910,2.41688,0.20082,0.915931,0.376552,0.003964,0.000610914,0.003964,0.207883,0.181489,0.544901,0.921681,0.044007,0.0357475,0.0422087,0.209878,0.049377,0,1.05218,0.0970515,2.22861,0.187105,0,0.066838,0.635837,5.04258,0.710534,0.502518,0.514581,2.05562,0.216101,0.20864,0,0.938712,0.524479,0,-0.00154749,0.228227,0.967802,0.333946,0.0440259,0.0444231,0.0034019,0.00288691,0.457903,0.0421889,5.70822,-3.20821,9.28629,0.693028,0.538391,-7.74255,-0.333333,0.0256968,-0.0873097,0.702347,6.58333,1.375,0,0,0.458333,1.16667,0,-6.67804,0.0001,-0.000936822,0.00367851,1.85666,0.140186,49229,0.176548,254.02,1.89358
6911,2.78736,0.185747,0.945847,0.371531,0.00361996,0.000616683,0.00361996,0.193275,0.171035,0.520111,0.951056,0.0417233,0.0351736,0.0397608,0.196838,0.051212,0,1.07485,0.0956854,2.30671,0.182715,0,0.0667922,0.660415,5.2212,0.734941,0.545695,0.466268,1.87288,0.193652,0.194545,0,0.927083,0.520139,0,-0.00175257,0.216252,0.969094,0.382744,0.0412057,0.0416309,0.00375787,0.00310534,0.463876,0.0395897,5.90823,-2.58051,9.51859,0.680275,0.515796,-9.26296,-0.333333,0.0284684,-0.0890672,0.732461,2.08333,1.25,0,0,0.625,0.666667,0,-6.67594,0.0001,-0.00132542,0.00734147,1.8315,0.136246,49957,0.176588,268.17,2.0522
6912,1.8414,0.177128,0.919181,0.38563,0.0033666,0.000510713,0.0033666,0.183651,0.154686,0.517315,0.931104,0.0366514,0.03677,0.0359104,0.179387,0.0470613,0,1.0493,0.083379,2.38747,0.158096,0,0.0506418,0.689379,5.40229,0.752977,0.577492,0.435936,1.75012,0.184423,0.176674,0,0.96875,0.369133,0,-0.00220328,0.204324,0.974505,0.439611,0.0374693,0.0360346,0.00268775,0.00238333,0.461806,0.0356367,4.33642,-3.965,7.78531,0.727573,0.399574,-9.54932,-0.333333,0.0252389,-0.0909367,0.714971,1.625,0.833333,0,0,0.0833333,0.625,31.4167,-6.66655,0.0001,0.000532668,0.0137509,1.60781,0.141741,56188,0.176704,294.18,2.08846
6913,1.99567,0.142046,0.55024,0.367418,0.00493096,0.000461267,0.00493096,0.147439,0.126442,0.585453,0.551964,0.0529782,0.0181548,0.0507125,0.244113,0.0520129,0,0.980717,0.0443188,2.07244,0.199668,0,0.074966,0.5215,4.47668,0.635803,0.381334,0.631633,2.54088,0.142496,0.238561,0,0.680556,0.0804598,0,0.000372238,0.238851,0.963787,0.205767,0.0530748,0.0542552,0.00494038,0.00398497,0.471254,0.0517098,8.83262,0.831245,10.3521,0.662453,0.582815,-7.29278,-0.333333,0.016554,-0.0531729,0.419505,0.958333,0.583333,0,0,0,0.458333,9.66667,-6.65819,0.0001,0.00165523,0.0380901,1.65232,0.138378,54897,0.176777,283.66,1.75226
6914,2.01678,0.0631071,0.161111,0.218227,0.00587116,0.000209688,0.00587116,0.0870308,0.0420191,0.622299,0.161111,0.0596821,0.00687743,0.057401,0.227619,0.063922,0,0.779079,0.00969557,2.09222,0.250572,0,0.0885751,0.443047,4.02541,0.559045,0.264266,0.761583,3.10406,0.0637198,0.223704,0,0.0416667,0,0,0.00114594,0.322767,0.956072,0.0944512,0.0593967,0.0607868,-0.000406851,-0.00086627,0.418989,0.0579624,7.30969,2.77748,10.2642,0.684457,0.63719,-5.49765,-0.333333,0.00673389,-0.0272405,0.121406,0.958333,0.625,0,0,0,0.25,0,-6.65419,0.0001,0.000498459,0.169574,1.76011,0.139353,51753,0.176792,265.49,1.18844
6915,2.19695,0.0964709,0.294357,0.353582,0.00539376,0.000333028,0.00539376,0.123457,0.0764228,0.601279,0.295158,0.0591994,0.0133893,0.0563063,0.252345,0.0501434,0,0.921075,0.0197145,2.07233,0.199689,0,0.0819048,0.49098,4.24163,0.601759,0.323226,0.692323,2.76038,0.0972421,0.247092,0,0.134468,0.0319444,0,0.000426736,0.271157,0.965817,0.131644,0.0576799,0.0601713,0.00592618,0.00528188,0.44504,0.0564935,8.31828,2.20498,11.0724,0.64519,0.649462,-6.81508,-0.333333,0.0105403,-0.0391423,0.214526,9.75,5.66667,0,0,0.5,6.91667,0,-6.65408,0.0001,-0.000178461,0.143023,1.88561,0.143477,48447,0.176775,191.05,-0.4001
6916,2.35705,0.151968,0.492909,0.370348,0.00506272,0.000511762,0.00506272,0.162145,0.12267,0.596096,0.49499,0.055768,0.0185946,0.0531088,0.253901,0.0487319,0,0.988118,0.0422703,2.11536,0.193784,0,0.0791654,0.52567,4.42695,0.626401,0.364629,0.653339,2.60846,0.152854,0.249891,0,0.482895,0.0332184,0,7.75632e-06,0.256169,0.967151,0.178068,0.0546651,0.0568061,0.00671423,0.00598511,0.454578,0.0534471,7.67318,0.848814,10.9389,0.643689,0.639985,-6.75925,-0.333333,0.0169373,-0.0539638,0.369024,34.7917,18.375,0,0,2.29167,18.1667,0,-6.65587,0.0001,-0.00120799,0.0565421,1.88409,0.144465,48460,0.17676,204.72,0.566495
6917,2.32799,0.196563,0.71454,0.374264,0.00472559,0.000575444,0.00472559,0.191977,0.166376,0.579354,0.727994,0.0516362,0.0242082,0.0493745,0.245295,0.0507586,0,1.02747,0.0780105,2.16998,0.188987,0,0.0744159,0.56465,4.62385,0.652973,0.406938,0.611485,2.42862,0.203011,0.2425,0,0.756844,0.219618,0,-0.000535228,0.250772,0.96724,0.226502,0.0511781,0.0526479,0.00666913,0.00595121,0.461384,0.0498239,6.85025,-0.8759,10.3139,0.659777,0.612832,-6.66737,-0.333333,0.0203266,-0.0684898,0.532535,36.2083,15.1667,0,0,1.625,13.2083,0,-6.65648,0.0001,-0.0018828,0.0183628,1.89753,0.134538,48376,0.176767,220.23,1.21526
6918,2.39578,0.212068,0.847875,0.380445,0.00439537,0.000549672,0.00439537,0.211864,0.184033,0.568315,0.872957,0.0486465,0.0282152,0.0465215,0.233585,0.0488595,0,1.05351,0.0987305,2.17473,0.177434,0,0.0698619,0.596703,4.79491,0.675318,0.44838,0.570629,2.27573,0.225942,0.231227,0,0.892448,0.383027,0,-0.000951685,0.233469,0.968258,0.274005,0.0482053,0.0493321,0.00618637,0.00551464,0.466142,0.0467383,6.49679,-1.63728,9.92698,0.669055,0.579756,-7.32459,-0.333333,0.0209299,-0.0813864,0.644309,20.125,6.41667,0,0,1.04167,7.25,0,-6.65481,0.0001,-0.00200664,0.0113319,1.89767,0.145234,48119,0.17678,237.62,1.69032
6919,2.62468,0.205583,0.919963,0.381797,0.00405905,0.000487261,0.00405905,0.210183,0.184826,0.548009,0.936504,0.0457957,0.0311436,0.0437355,0.214841,0.0477786,0,1.04796,0.100708,2.22546,0.164797,0,0.06595,0.630171,4.98524,0.701262,0.490589,0.526799,2.09938,0.218935,0.212474,0,0.927698,0.474976,0,-0.00122452,0.221844,0.96951,0.323268,0.0452633,0.0461568,0.00569124,0.00510176,0.468795,0.0437235,5.90947,-2.02461,9.71579,0.674341,0.548008,-8.1902,-0.333333,0.0201473,-0.0872091,0.689091,11.8333,5.16667,0,0,1,3.91667,0.125,-6.65231,0.0001,-0.00153363,0.00651146,1.86336,0.144983,48947,0.176789,256.47,1.63148
