step,Episode_Metrics/bridge/balance_debt,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/entry_speed,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/handoff,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/handoff,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
7910,2.20255,0.233054,0.926562,0.440024,0.00396338,0.00116173,0.00396338,0.225999,0.183438,0.526965,0.93651,0.0449165,0.0362119,0.0430306,0.228095,0.0457123,0,1.13846,0.10868,2.416,0.172753,0,0.0688896,0.61368,5.03771,0.707636,0.502596,0.509531,2.05116,0.242776,0.225666,0,0.910283,0.509424,0,-0.001393,0.242614,0.968323,0.333822,0.0445673,0.0453847,0.00563453,0.00499149,0.455135,0.0431991,7.89189,-1.93309,9.97983,0.643919,0.534232,-8.23858,-0.333333,0.048874,-0.0950412,0.647852,9.54167,4.70833,0,0,0.958333,5.29167,0,-6.00018,0.0001,-0.000484887,0.00223155,2.01244,0.149987,45460,0.185161,260.22,1.84496
7911,2.40652,0.21716,0.984615,0.441266,0.00361891,0.00107792,0.00361891,0.208674,0.178119,0.50718,0.991391,0.0423113,0.0342937,0.0403405,0.209289,0.0426433,0,1.14285,0.106264,2.41883,0.164347,0,0.0662802,0.647402,5.21566,0.73003,0.545827,0.467262,1.88705,0.221248,0.206867,0,0.946497,0.572118,0,-0.00161111,0.233894,0.969848,0.390605,0.0412181,0.0423122,0.00492418,0.00435492,0.453878,0.040016,7.98046,-1.49481,10.209,0.625125,0.506052,-9.48772,-0.333333,0.0497187,-0.0961712,0.691777,5.125,4.91667,0,0,1.45833,5.58333,0,-5.99922,0.0001,-0.00226023,0.00587131,2.00893,0.156232,45402,0.185162,283.48,1.96119
7912,1.5613,0.202039,0.999089,0.441199,0.00336469,0.00101547,0.00336469,0.201782,0.168042,0.489246,1.00753,0.0366811,0.0370214,0.0360781,0.193573,0.0394206,0.00409637,1.12997,0.100709,2.43486,0.151091,0,0.0497655,0.685086,5.4416,0.756399,0.577731,0.432156,1.73864,0.205104,0.190173,0,0.943679,0.607934,0,-0.00210436,0.213356,0.974128,0.453147,0.0370964,0.0361998,0.00379545,0.00347817,0.459628,0.0357724,8.23948,-2.7726,8.55291,0.65889,0.372653,-9.77058,-0.333333,0.050312,-0.0999941,0.691817,4.41667,3.45833,0,0,0.541667,3.875,931.125,-5.99703,0.0001,-0.0017091,0.0121144,1.82446,0.156977,49612,0.185217,300,1.93551
7913,1.44907,0.14915,0.674458,0.402947,0.00418459,0.000585624,0.00418459,0.171831,0.120922,0.475941,0.679161,0.0437278,0.031409,0.0431679,0.206137,0.0523601,0.00441148,1.00121,0.0621881,2.34361,0.205853,0,0.0603028,0.585375,4.98089,0.695551,0.474834,0.534647,2.13014,0.150207,0.202879,0,0.557883,0.360045,0,-0.00133412,0.220826,0.96972,0.333901,0.0449843,0.0440622,-0.000349068,-0.000633564,0.446394,0.0434701,8.15246,-3.09848,8.78829,0.674262,0.434487,-7.43345,-0.333333,0.0292812,-0.0755816,0.462126,3.33333,1.75,0,0,0,1.75,1002.75,-5.99064,0.0001,1.97183e-05,0.0306856,1.63699,0.154709,54866,0.185289,298.86,1.88733
7914,1.58401,0.121384,0.357083,0.333063,0.00545914,0.00074198,0.00545914,0.120413,0.0884449,0.568055,0.357083,0.0566054,0.0172542,0.0548929,0.232549,0.062786,0,0.872086,0.0297272,2.30109,0.238422,0,0.0803617,0.436154,4.21739,0.591945,0.315851,0.697744,2.84329,0.121384,0.230117,0,0.461806,0.0138889,0,0.00053099,0.30755,0.966461,0.149503,0.0575339,0.0584231,-0.000256242,-0.000206769,0.39572,0.0561706,6.17952,-0.763439,9.27786,0.689461,0.598989,-4.9631,-0.333333,0.0252428,-0.0397432,0.256862,0.916667,0.541667,0,0,0.166667,0.375,0,-5.98631,0.0001,0.000260384,0.101289,1.79116,0.148804,50673,0.185312,273.28,1.30677
7915,1.93729,0.144041,0.442675,0.387774,0.00516101,0.000766312,0.00516101,0.16372,0.108063,0.597343,0.443389,0.056441,0.020437,0.0539963,0.253306,0.042397,0,0.980874,0.0409219,2.31732,0.179566,0,0.0749432,0.482338,4.40432,0.617872,0.352672,0.659526,2.66949,0.144682,0.250519,0,0.388343,0.0580357,0,0.000147343,0.268127,0.967022,0.167637,0.056004,0.0578186,0.00581534,0.00506542,0.420975,0.0546464,7.58344,0.0108941,10.2508,0.663526,0.620804,-5.9737,-0.333333,0.0256263,-0.055144,0.326564,1.79167,1.83333,0,0,0.25,1.70833,0,-5.9865,0.0001,-0.000925399,0.0906406,1.93974,0.155016,46928,0.185325,190.63,-0.535462
7916,2.28153,0.149864,0.455548,0.427538,0.0050705,0.00114677,0.0050705,0.159787,0.112282,0.582793,0.456602,0.0563498,0.0193054,0.0537074,0.262798,0.0528318,0,1.02835,0.0396859,2.2559,0.195362,0,0.081493,0.497692,4.42528,0.621938,0.363713,0.651885,2.63384,0.150222,0.259898,0,0.414711,0.0504386,0,0.000101587,0.276785,0.966985,0.176617,0.0551548,0.0575254,0.00753044,0.0067278,0.425986,0.0540281,7.8662,0.793883,10.8964,0.641623,0.640797,-6.66901,-0.333333,0.0383418,-0.0534536,0.319709,6.375,5.20833,0,0,1.29167,5.375,0,-5.98666,0.0001,-0.00171891,0.068239,2.02466,0.156674,45066,0.185315,202.49,0.115255
7917,2.2056,0.187938,0.609594,0.433336,0.00479019,0.00116737,0.00479019,0.186982,0.141391,0.569565,0.614727,0.053029,0.0244952,0.0506941,0.258475,0.0507579,0,1.07064,0.0641538,2.30695,0.188138,0,0.0774295,0.52864,4.58584,0.644838,0.398831,0.615699,2.47941,0.190653,0.25589,0,0.569135,0.189152,0,-0.000398763,0.267769,0.967179,0.215408,0.0523931,0.0541241,0.0072051,0.00639027,0.436277,0.0511776,7.83748,-0.449313,10.457,0.649018,0.614272,-6.71193,-0.333333,0.0411604,-0.066449,0.432666,8.25,5.20833,0,0,0.916667,5.16667,0.0416667,-5.98768,0.0001,-0.000967052,0.0508873,1.96988,0.15705,46218,0.185298,214.06,0.638834
7918,2.18343,0.198099,0.713598,0.424469,0.00463446,0.00119802,0.00463446,0.199771,0.157983,0.561688,0.721697,0.0514303,0.0255791,0.0492523,0.251692,0.046568,0,1.08484,0.0792,2.2734,0.17811,0,0.0732609,0.549523,4.67843,0.657237,0.418432,0.593448,2.39394,0.201619,0.249054,0,0.697885,0.270618,0,-0.000601756,0.252037,0.96746,0.244637,0.0506795,0.0521603,0.00574169,0.00502953,0.435469,0.0494485,7.93224,-0.640504,10.184,0.651293,0.582431,-7.14558,-0.333333,0.0438889,-0.0745402,0.501256,6.54167,4.16667,0,0,1.29167,4.58333,0.291667,-5.98859,0.0001,0.000909135,0.129765,2.07003,0.152776,44225,0.1853,226.66,0.924583
7919,2.27357,0.192484,0.718987,0.427914,0.00440361,0.00104158,0.00440361,0.193235,0.149253,0.542076,0.723634,0.0495453,0.0267552,0.0473445,0.23898,0.0487179,0,1.07928,0.0751764,2.34327,0.181018,0,0.0732746,0.565407,4.80049,0.675574,0.447347,0.56196,2.2733,0.195922,0.236162,0,0.710877,0.284964,0,-0.000710929,0.252578,0.967866,0.276758,0.0486753,0.050214,0.00619696,0.00542731,0.442534,0.0475095,8.32576,-0.589921,10.2857,0.643947,0.573213,-7.85618,-0.333333,0.0404474,-0.076351,0.496309,4.45833,4.41667,0,0,1.29167,3.70833,0.541667,-5.98905,0.0001,0.00281159,0.0829831,1.99764,0.158152,45600,0.185298,235.09,0.741424
