step,Episode_Metrics/bridge/balance_debt,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/entry_speed,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/handoff,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/handoff,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
8510,0.934581,0.561075,0.690562,0.517736,0.014315,0.00649636,0.014315,0.512792,0.389946,0.577499,0.694776,0.0245971,0.0810564,0.0169834,0.291,0.0237562,0.000833333,0.449945,0.167805,3.51122,0.140942,0.51297,0.0765754,0.798935,6.77111,0.970711,1,0.00116675,0.0243244,0.565339,0.30358,0,0.65002,0.256573,0,-0.00529546,0.113543,0.946985,0.750325,0.0167603,0.0242196,0.00210772,0.000689469,0.503107,0.0134926,6.75714,-5.69411,18.4451,0.357547,0.85603,-13.8302,-0.588235,0.145257,-0.128761,1.54395,14.7917,9.625,0,0,2.16667,12.125,10.25,-5.27418,0.0001,-0.000192738,0.277044,1.72165,0.133941,52977,0.196445,99.92,3.2256
8511,0.938119,0.551291,0.723275,0.516446,0.0136952,0.0063951,0.0136952,0.503712,0.392808,0.576241,0.727337,0.0238406,0.0784024,0.0166004,0.282109,0.0251733,0,0.454983,0.171381,3.42024,0.139109,0.515714,0.0747994,0.809801,6.80252,0.972785,1,0.000914293,0.0165716,0.555144,0.293843,0,0.682559,0.285114,0,-0.00528105,0.111707,0.949759,0.765675,0.0160278,0.0231756,0.00179092,0.000479745,0.503161,0.0129913,6.82888,-4.98084,18.2191,0.3514,0.811353,-14.3184,-0.588235,0.147374,-0.13223,1.62324,12.5833,10.4167,0,0,2.08333,11.5,11.75,-5.27419,0.0001,-0.000604927,0.2737,1.73707,0.134392,52527,0.196446,101.11,3.8074
8512,1.03212,0.573144,0.702231,0.51665,0.0145001,0.006849,0.0145001,0.525829,0.406039,0.582387,0.708399,0.02552,0.0810922,0.0175435,0.297628,0.0241259,0,0.452039,0.178881,3.4981,0.143815,0.515879,0.0803162,0.791917,6.75707,0.971112,1,0.000874304,0.016569,0.578911,0.31051,0,0.647086,0.281686,0,-0.0052298,0.113067,0.946388,0.744044,0.0172252,0.0251797,0.00204659,0.000614066,0.503834,0.0139777,6.50886,-5.32137,18.8934,0.347388,0.887573,-13.9465,-0.588235,0.148325,-0.128353,1.57975,13.125,11.2917,0,0,1.75,11.2083,7.5,-5.27304,0.0001,0.00245451,0.258122,1.76948,0.139806,51487,0.196471,93.25,3.66855
8513,0.95719,0.561383,0.732034,0.518084,0.0136413,0.00670172,0.0136413,0.515453,0.39991,0.576411,0.736498,0.0244387,0.0804602,0.0170194,0.284248,0.0251021,0.00263566,0.459458,0.177966,3.36294,0.142379,0.51328,0.0773128,0.81061,6.7859,0.971464,1,0.000677665,0.0141736,0.56628,0.296439,0,0.686754,0.282302,0,-0.00529377,0.108047,0.949463,0.759295,0.0164446,0.0237571,0.00177933,0.000533107,0.503746,0.0133489,6.93951,-4.93678,18.3633,0.351131,0.811891,-14.3708,-0.588235,0.150235,-0.134016,1.64842,12.5833,8.375,0,0,1.20833,11.125,9.125,-5.26971,0.0001,0.000424484,0.250993,1.85404,0.138124,49345,0.196498,101.06,3.74021
8514,1.0547,0.555916,0.742085,0.51929,0.013313,0.00646531,0.013313,0.510593,0.394737,0.57216,0.747045,0.0244794,0.0785395,0.0170893,0.277783,0.0259443,0.000130617,0.458883,0.179641,3.35268,0.141282,0.513453,0.0775738,0.813671,6.7922,0.972155,1,0.000930613,0.0214319,0.560739,0.289692,0,0.690473,0.298312,0,-0.00523981,0.107769,0.950011,0.765066,0.0162598,0.0236828,0.00169918,0.000472333,0.504569,0.013276,6.92815,-4.42443,18.4887,0.343876,0.813345,-14.6908,-0.588235,0.150911,-0.135362,1.65916,11.5417,9.91667,0,0,1.70833,9.95833,19.5417,-5.26709,0.0001,0.000934354,0.286536,1.86251,0.13728,49157,0.196542,87.13,3.42747
8515,0.871054,0.537346,0.775698,0.518844,0.0128381,0.0062223,0.0128381,0.492789,0.392698,0.569632,0.779973,0.0220901,0.0782448,0.0155565,0.267839,0.0260966,0.00245727,0.46093,0.180414,3.3231,0.135104,0.516063,0.0697489,0.826227,6.84416,0.976144,1,0.000801623,0.0167612,0.541839,0.278252,0,0.732535,0.339148,0,-0.00530482,0.111028,0.952577,0.78337,0.0148945,0.0211429,0.0016373,0.000474948,0.505902,0.0119959,7.21655,-4.97779,17.4974,0.359491,0.745753,-14.537,-0.588235,0.15266,-0.138125,1.73366,10.9583,8.83333,0,0,1.75,10.375,13,-5.26631,0.0001,0.00107025,0.239063,1.81472,0.144464,50175,0.196561,115.82,4.13957
8516,0.915474,0.524328,0.818674,0.516718,0.0115951,0.00591286,0.0115951,0.48019,0.385137,0.561158,0.825268,0.0209869,0.0754942,0.0150628,0.24896,0.0274986,0,0.467449,0.185737,3.20874,0.133292,0.514914,0.0663351,0.846707,6.87442,0.977543,1,0.000735515,0.0146364,0.529137,0.258438,0,0.780583,0.383481,0,-0.00534967,0.105566,0.956473,0.804346,0.0139354,0.0196331,0.00123714,0.000278909,0.508158,0.0112808,7.55765,-4.18515,16.9554,0.360496,0.664888,-15.2119,-0.588235,0.155089,-0.145076,1.82607,10.5833,10.2083,0,0,1.66667,9.79167,15.7917,-5.26646,0.0001,-0.000780914,0.264551,1.74028,0.133586,52460,0.196544,111.87,4.30797
8517,0.991012,0.535067,0.778951,0.518175,0.0126625,0.0060713,0.0126625,0.496748,0.390035,0.567738,0.784668,0.0234759,0.0760809,0.0165846,0.264757,0.0274793,0.00085034,0.460952,0.182858,3.2486,0.135279,0.515527,0.0751427,0.825882,6.81644,0.973757,1,0.000664083,0.0135015,0.540193,0.274624,0,0.717938,0.354543,0,-0.00521456,0.105504,0.9532,0.783125,0.015415,0.0222496,0.0015338,0.000381573,0.505533,0.012579,7.33815,-3.57788,18.073,0.344821,0.761398,-15.3548,-0.588235,0.150188,-0.140331,1.7374,9.83333,10.5417,0,0,1.25,9.875,11.5,-5.26765,0.0001,-0.000764382,0.244169,1.74735,0.126885,52450,0.196505,112.81,4.24286
8518,0.904465,0.535603,0.782996,0.517603,0.0121467,0.00604644,0.0121467,0.491508,0.382301,0.566147,0.788136,0.0216795,0.0759352,0.0154326,0.259105,0.026644,0,0.465861,0.180665,3.22099,0.134382,0.513992,0.0687284,0.837362,6.85116,0.976809,1,0.000658712,0.0121752,0.540556,0.268905,0,0.73758,0.341329,0,-0.00533971,0.107024,0.954475,0.795125,0.0144195,0.0205058,0.00148089,0.000430205,0.50804,0.0116766,7.4568,-4.45128,17.3568,0.355648,0.707824,-14.9553,-0.588235,0.154164,-0.142796,1.75164,10.5833,9.5,0,0,1.41667,10.1667,13.75,-5.26888,0.0001,0.000329526,0.231139,1.73197,0.125359,52927,0.196497,115.33,3.84748
8519,0.970899,0.541588,0.794673,0.516208,0.0123604,0.00615936,0.0123604,0.497725,0.398711,0.568298,0.799711,0.0226153,0.0781792,0.0160166,0.262911,0.0268691,0,0.467289,0.187753,3.28319,0.137154,0.515827,0.0727209,0.833825,6.83197,0.974996,1,0.000461211,0.010119,0.546694,0.273265,0,0.739104,0.345319,0,-0.00535025,0.105532,0.953137,0.787301,0.0149808,0.0215326,0.00151635,0.000458364,0.510194,0.0121289,7.42533,-4.38561,17.6647,0.353317,0.732781,-14.9368,-0.588235,0.151803,-0.142074,1.77996,10.9583,9.5,0,0,1,8.91667,11.8333,-5.26866,0.0001,-0.00186648,0.225727,1.68482,0.12569,54296,0.196522,107.05,3.91108
