step,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/action_over_limit,Episode_Reward/curriculum_accelerate,Episode_Reward/curriculum_alignment,Episode_Reward/curriculum_continuous,Episode_Reward/curriculum_hold,Episode_Reward/curriculum_steering,Episode_Reward/curriculum_transfer,Episode_Reward/dynamic_action_rate,Episode_Reward/failure,Episode_Reward/foreaft_balance,Episode_Reward/joint_torques_l2,Episode_Reward/self_collisions,Episode_Reward/waist_support,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
16410,0.962036,0.0189705,0.0451643,0.0125917,0.118806,0.00857175,0.204754,0.329468,3.97752,0.0664061,0.300195,0.0705228,0.881737,6.96364,0.986408,1,0.00642882,0.105813,0.694666,0.13945,0.610432,0.991736,0.610432,0,-0.00437288,0.0342039,0.915827,0.846822,0.0103338,0.0178371,0.00158517,0.00184742,0.563033,0.0126328,-11.5007,-14.291,10.564,0.714265,0.796291,-15.8225,-0.0171102,0,-0.000618491,1.4925,2.36746,0,0,-0.00364476,-0.95937,-0.166652,-0.000397651,-0.0161282,0.377804,5.125,11.5,0,0,18.8333,8.33333,1.75,-16.9988,1e-05,0.00258759,0.127878,1.59508,0.0868561,58447,0.102724,70.8,5.97644
16411,0.955895,0.0200969,0.0449921,0.0133082,0.125554,0.00857521,0.203536,0.344304,4.06424,0.0636311,0.300337,0.0732154,0.873246,6.96121,0.985439,1,0.00708647,0.123342,0.726447,0.147022,0.603712,0.98861,0.603712,0,-0.00434257,0.0291177,0.919151,0.841279,0.0108063,0.0188584,0.00149717,0.00173613,0.564939,0.0131998,-11.0755,-13.5304,10.7855,0.712263,0.817605,-16.2657,-0.0170708,0,-0.000601775,1.47654,2.32661,0,0,-0.00352331,-0.986038,-0.158265,-0.00038034,-0.0177528,0.369324,4.91667,13,0,0,29.875,16.25,0.75,-17.0075,2.25e-05,-0.000732678,0.0890433,1.61868,0.0892496,57557,0.102701,71.05,6.26992
16412,0.95952,0.0203373,0.0435435,0.0135748,0.117764,0.00874054,0.203998,0.327367,3.90082,0.0648278,0.300262,0.0726049,0.878549,6.94042,0.985004,1,0.00779307,0.134481,0.69032,0.137789,0.62629,0.985936,0.62629,0,-0.00429501,0.0322653,0.917311,0.837822,0.0109954,0.0189482,0.00140982,0.00182002,0.562232,0.0134387,-11.6758,-13.3699,10.6735,0.713957,0.81344,-16.4654,-0.0169647,0,-0.000556246,1.48951,2.39332,0,0,-0.00364257,-0.986743,-0.167111,-0.000397376,-0.0153969,0.383706,7.875,16.6667,0,0,39.0833,12.7917,0.875,-17.0028,1e-05,0.00116563,0.110698,1.57382,0.0899873,59083,0.102699,77.31,6.18566
16413,0.962341,0.0194304,0.0451062,0.0128946,0.118313,0.00867588,0.203012,0.330994,3.95675,0.0665103,0.29965,0.0713783,0.879508,6.95116,0.98622,1,0.00661697,0.111993,0.696295,0.138908,0.627601,0.988239,0.627601,0,-0.00435842,0.0335632,0.915549,0.843827,0.0105512,0.0182512,0.00143478,0.00172205,0.56177,0.012825,-11.4774,-14.169,10.6938,0.71198,0.807323,-15.9264,-0.0168663,0,-0.000795282,1.48709,2.35363,0,0,-0.003627,-0.969915,-0.163521,-0.000392887,-0.0165447,0.375566,5.95833,13.8333,0,0,24.0833,10.3333,1.625,-17.0035,1e-05,0.00185241,0.121317,1.58181,0.0920572,58728,0.102675,72.55,5.648
16414,0.958154,0.0197886,0.044285,0.0131433,0.123269,0.00846482,0.204064,0.340475,3.99617,0.0639806,0.300422,0.0716755,0.874631,6.96922,0.985724,1,0.00691801,0.116754,0.718185,0.144478,0.603269,0.988349,0.603269,0,-0.0043298,0.030635,0.919326,0.843958,0.0106179,0.018466,0.00153889,0.00180068,0.56553,0.0130697,-11.1848,-13.5954,10.5822,0.715361,0.801066,-16.2854,-0.0166683,0,-0.00074898,1.48066,2.34082,0,0,-0.00356017,-0.977008,-0.163908,-0.000384076,-0.0161116,0.372489,5.04167,12.6667,0,0,28.0833,14.9583,1.16667,-17.0044,1e-05,0.000182803,0.100038,1.61684,0.0871286,57691,0.102681,73.2,6.17222
16415,0.962961,0.0202286,0.0445061,0.0134641,0.118707,0.00876636,0.202775,0.333979,3.9193,0.0645935,0.299398,0.0732586,0.87757,6.94231,0.985121,1,0.00758953,0.125398,0.699724,0.139139,0.644993,0.989094,0.644993,0,-0.00432067,0.0318249,0.916675,0.839097,0.0109473,0.0189348,0.00143193,0.00177527,0.562174,0.0133259,-11.4996,-13.6053,10.7963,0.713233,0.818286,-16.2748,-0.0170309,0,-0.000616777,1.49152,2.37706,0,0,-0.00359996,-0.986531,-0.16497,-0.000390976,-0.0155002,0.380219,6.25,15.6667,0,0,35.5833,12.9167,0.875,-17.0025,1.5e-05,0.000640392,0.106282,1.57767,0.0864928,59071,0.102703,75.07,5.96419
16416,0.959688,0.0199912,0.0435216,0.0133122,0.118067,0.00866513,0.202587,0.331371,3.91275,0.0646389,0.299364,0.0721976,0.878689,6.94806,0.985461,1,0.00724866,0.123975,0.697652,0.138537,0.622517,0.987768,0.622517,0,-0.00431329,0.0318745,0.917588,0.840861,0.0107991,0.0186852,0.00142104,0.00173467,0.561905,0.0131477,-11.5055,-13.5414,10.7348,0.7105,0.815155,-16.2636,-0.0168727,0,-0.000618934,1.47997,2.33608,0,0,-0.00360941,-0.973226,-0.164755,-0.000391988,-0.0157886,0.372631,5.625,13.875,0,0,27.9583,10.875,1.54167,-16.995,1.5e-05,0.00285073,0.113513,1.58312,0.0933867,58636,0.102689,74.36,6.00661
16417,0.957016,0.0200383,0.0436353,0.0133105,0.12173,0.00854196,0.202742,0.336933,3.97506,0.0640692,0.299609,0.0728572,0.874498,6.95724,0.985094,1,0.00733338,0.125258,0.711857,0.142506,0.587016,0.989834,0.587016,0,-0.00429726,0.0317116,0.919771,0.841008,0.0108229,0.0187616,0.00143261,0.00171792,0.562013,0.0132052,-11.2415,-13.2765,10.6992,0.713387,0.813069,-16.3791,-0.0170594,0,-0.000768504,1.47565,2.31928,0,0,-0.00358316,-0.976359,-0.167922,-0.000387197,-0.0179499,0.368493,4.5,12.375,0,0,29.25,13.875,1.33333,-16.9984,1.5e-05,0.000871149,0.102769,1.6528,0.0935376,56291,0.102686,74.76,6.09097
16418,0.967454,0.0203933,0.0427717,0.0135958,0.118284,0.00870148,0.202951,0.334964,3.89271,0.06468,0.299591,0.0730607,0.875674,6.94377,0.985071,1,0.00778764,0.13544,0.69861,0.138577,0.641667,0.994566,0.641667,0,-0.00424182,0.0331187,0.91898,0.837606,0.0110604,0.0190214,0.00148311,0.00185339,0.56364,0.0134878,-11.5032,-13.1089,10.6822,0.713022,0.81889,-16.5684,-0.0167928,0,-0.000738981,1.49742,2.3804,0,0,-0.00360123,-0.983639,-0.169397,-0.000391776,-0.0155665,0.379839,6.08333,14.0833,0,0,34.8333,12.8333,1.08333,-16.9966,1e-05,0.00149715,0.102227,1.54856,0.0872622,60094,0.1027,73.32,6.14561
16419,0.963306,0.0200689,0.042641,0.0133834,0.118274,0.00854109,0.202337,0.333399,3.92345,0.0653411,0.299175,0.0722144,0.877416,6.95363,0.984582,1,0.00757474,0.125844,0.699286,0.138884,0.642386,0.990701,0.642386,0,-0.00424889,0.0331294,0.919657,0.841696,0.0107954,0.0186599,0.00145446,0.00180812,0.562807,0.0132754,-11.4888,-13.0752,10.5923,0.712289,0.803542,-16.5889,-0.0169487,0,-0.000853567,1.4839,2.34164,0,0,-0.00360427,-0.970759,-0.16855,-0.000392187,-0.0169948,0.373378,5.625,11.875,0,0,30.2917,11.75,1.58333,-17.0001,2.25e-05,0.00143734,0.107242,1.50247,0.0840371,61962,0.102658,74.48,6.14312
16420,0.953474,0.0200169,0.0435619,0.0133258,0.120269,0.00853132,0.203484,0.330215,3.96308,0.0642337,0.300086,0.0722076,0.874382,6.95604,0.984988,1,0.00748092,0.125605,0.703131,0.140989,0.587144,0.985558,0.587144,0,-0.0042926,0.0324929,0.91906,0.842029,0.0107632,0.0186728,0.00139253,0.00171864,0.562252,0.0132288,-11.4125,-13.3281,10.5796,0.715334,0.81195,-16.4688,-0.0168073,0,-0.000604222,1.47331,2.33907,0,0,-0.0036036,-0.975541,-0.16514,-0.000391175,-0.0148152,0.372887,5.54167,11.9167,0,0,29.0833,12.0833,1.375,-16.9918,1e-05,0.00328638,0.0989439,1.49854,0.0835638,62134,0.102658,75.86,6.45058
16421,0.964577,0.0199434,0.0439063,0.013281,0.119369,0.0086129,0.20272,0.336545,3.90457,0.0649203,0.29955,0.0720605,0.876246,6.95214,0.985329,1,0.00731001,0.12518,0.704036,0.140079,0.626261,0.987565,0.626261,0,-0.00431894,0.0322968,0.917936,0.842649,0.0107186,0.0186046,0.00143553,0.00176175,0.562673,0.0131338,-11.4197,-13.5866,10.5646,0.717898,0.808636,-16.3068,-0.0166635,0,-0.000771962,1.4894,2.37159,0,0,-0.00358093,-0.986795,-0.164485,-0.000388151,-0.0154076,0.379217,6.08333,15.1667,0,0,33.1667,13.5,0.875,-16.9933,2.25e-05,0.000397204,0.104984,1.49222,0.0867085,62259,0.102668,74.6,6.08633
16422,0.955197,0.0201119,0.0433876,0.0133955,0.119192,0.00873723,0.203439,0.328436,3.90739,0.0658351,0.300025,0.0726444,0.874145,6.95138,0.985561,1,0.00753502,0.126129,0.697036,0.139602,0.587146,0.986521,0.587146,0,-0.00429077,0.0340718,0.918879,0.840075,0.0108702,0.0187401,0.0015506,0.00187923,0.564211,0.0132849,-11.4539,-13.3176,10.6087,0.714765,0.806727,-16.4081,-0.0167966,0,-0.000877415,1.47585,2.35479,0,0,-0.00360205,-0.975478,-0.167619,-0.000391185,-0.0159213,0.376513,5.95833,12.4167,0,0,30.875,12.0833,1.45833,-17.0023,1.5e-05,0.000706922,0.109024,1.5805,0.0921278,58772,0.102656,74.47,6.14599
16423,0.954968,0.0199961,0.0437523,0.0132984,0.121371,0.00855548,0.203367,0.334845,3.97058,0.0649036,0.300187,0.0719119,0.874437,6.9546,0.985465,1,0.00727486,0.125059,0.709244,0.142074,0.607848,0.983836,0.607848,0,-0.00429715,0.0320644,0.919215,0.841154,0.0108018,0.0186718,0.00140135,0.00170419,0.562763,0.0132525,-11.2777,-13.4411,10.585,0.715446,0.814879,-16.3874,-0.0168453,0,-0.000836727,1.47497,2.33514,0,0,-0.00357963,-0.984703,-0.164832,-0.000387524,-0.0159556,0.371881,5.66667,13.5,0,0,29.75,13.125,0.916667,-17.0027,1e-05,0.00147692,0.113506,1.52438,0.0836372,61133,0.102661,72.14,5.75508
16424,0.957723,0.0199604,0.0448151,0.013247,0.121356,0.00864801,0.203618,0.334568,3.99077,0.0649723,0.300242,0.0723065,0.876091,6.9468,0.985684,1,0.00711269,0.118837,0.706571,0.142208,0.605057,0.985408,0.605057,0,-0.00432777,0.0325201,0.917209,0.840361,0.0107773,0.0187192,0.00132352,0.00162661,0.561064,0.0131295,-11.2948,-13.7866,10.8359,0.70994,0.816636,-16.1423,-0.0169469,0,-0.000746472,1.48169,2.35398,0,0,-0.00357385,-0.991527,-0.162525,-0.000388488,-0.0162339,0.37558,6.79167,15.4583,0,0,30.8333,12.5417,0.625,-17.0011,1.5e-05,-0.00055822,0.104852,1.50826,0.0819452,61818,0.102655,73.21,5.95488
