step,Episode_Metrics/bridge/balance_debt,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/entry_speed,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/handoff,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/handoff,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
5910,2.4585,0.12651,0.597965,0.22957,0.00397784,5.1563e-06,0.00397784,0.139394,0.120308,0.544266,0.686653,0.0428648,0.0274641,0.0411881,0.188605,0.0514722,0,0.924143,0.0780613,2.36355,0.199277,0,0.0699551,0.632571,5.06837,0.713612,0.500781,0.510623,2.05463,0.171398,0.18414,0,0.701389,0.303125,0,-0.00115401,0.257091,0.971003,0.351262,0.0425961,0.042993,0.00577087,0.00426547,0.470849,0.0418937,3.66304,-0.838381,9.52489,0.668421,0.514898,-9.43603,-0.333333,0.000207771,-0.0579949,0.487823,0.958333,0.958333,0,0,0.208333,1.58333,0,-6.73723,0.0001,-0.000564824,0.00550154,1.46825,0.12372,61749,0.173959,240.9,1.85174
5911,2.95718,0.191357,0.9225,0.367486,0.00370148,0,0.00370148,0.211691,0.17005,0.511412,1.0725,0.0403049,0.0251324,0.0389468,0.199266,0.0514017,0,1.05351,0.111809,2.56742,0.151118,0,0.0527317,0.663425,5.26409,0.733557,0.535464,0.463804,1.77003,0.219766,0.194883,0,1,1,0,-0.00309173,0.208309,0.974391,0.41673,0.0373664,0.0382734,0.0106575,0.00953388,0.479347,0.0366993,2.3162,-1.17704,9.04436,0.680451,0.441302,-9.78392,-0.333333,0,-0.0954322,0.719334,0.625,0.625,0,0,0,0.375,0,-6.73683,0.0001,-0.00133658,0.0133034,1.3486,0.12324,66789,0.173901,241.29,1.85533
5912,3.71374,0.19708,1.08,0.375462,0.00364964,0,0.00364964,0.219668,0.19708,0.514165,1.08,0.0422791,0.0257525,0.0399315,0.204775,0.0516443,0,1.09999,0.108394,2.69517,0.156002,0,0.0622015,0.656934,5.21937,0.728112,0.54197,0.448905,1.72629,0.19708,0.200814,0,1,1,0,-0.00323237,0.215501,0.971108,0.405156,0.0377617,0.0400084,0.0109361,0.00991708,0.4561,0.0366919,1.92961,0.166997,10.7134,0.633949,0.514922,-10.3211,-0.333333,0,-0.100315,0.877604,1,1,0,0,0,0,0,-6.73736,0.0001,-0.00140027,0.0204345,1.32192,0.126908,67850,0.1739,241.29,1.85533
5913,1.958,0.0743971,0.325417,0.167583,0.00593255,2.02823e-06,0.00593255,0.0901824,0.0710796,0.628865,0.325417,0.0548199,0.0106895,0.0532231,0.224752,0.0678682,0,0.792226,0.0280376,2.02583,0.282801,0,0.0868676,0.468327,4.22243,0.584818,0.265173,0.708713,2.90285,0.0743971,0.21938,0,0.326389,0.166667,0,0.000295692,0.320501,0.952469,0.157117,0.0539381,0.0556295,-0.00324748,-0.00471586,0.435199,0.0521836,9.89882,1.14305,8.21375,0.743329,0.556226,-5.27598,-0.333333,6.38892e-05,-0.0334923,0.259741,0.875,0.875,0,0,0.0416667,0.0833333,0,-6.73393,0.0001,0.00161317,0.076991,1.62108,0.126221,56260,0.173939,226.15,1.17579
5914,1.51708,0.108843,0.403056,0.212539,0.00569882,6.80136e-06,0.00569882,0.118354,0.101179,0.636551,0.408056,0.0557116,0.0145331,0.0536698,0.221552,0.0592117,0,0.789408,0.0387301,2.12305,0.233018,0,0.0802409,0.489755,4.20893,0.589794,0.287363,0.716264,2.91085,0.110534,0.2192,0,0.458333,0,0,0.000160169,0.302102,0.957605,0.141061,0.0551601,0.057058,-0.0020752,-0.00260532,0.423013,0.053381,6.62281,-0.472216,8.89995,0.727657,0.655984,-4.38623,-0.333333,0.000205174,-0.038498,0.348168,1.29167,1.04167,0,0,0,0.0833333,0,-6.73195,0.0001,-0.000377973,0.166025,1.70487,0.127802,53639,0.173958,202.63,0.357235
5915,1.92253,0.118399,0.373858,0.309775,0.00537456,3.88258e-05,0.00537456,0.14017,0.0986435,0.625144,0.374793,0.055331,0.0178957,0.0529817,0.241871,0.0498142,0,0.889721,0.0269561,2.06677,0.203683,0,0.0759356,0.517293,4.33114,0.614198,0.325501,0.690812,2.71089,0.118611,0.238632,0,0.26616,0.0220588,0,3.3022e-05,0.260941,0.962912,0.148183,0.0546713,0.0566688,0.00513038,0.00446962,0.445283,0.0532687,6.67845,-0.172696,10.4044,0.677387,0.676522,-5.37261,-0.333333,0.00120737,-0.0439452,0.30774,16.1667,6.83333,0,0,0.458333,7.20833,0,-6.73198,0.0001,-0.00113075,0.11004,1.68194,0.12474,54411,0.17397,192.12,0.04979
5916,2.31035,0.171167,0.615452,0.324319,0.00504482,2.49447e-05,0.00504482,0.172706,0.153311,0.611572,0.623022,0.0532838,0.0210579,0.050896,0.238571,0.0468711,0,0.933861,0.0586758,2.09762,0.18841,0,0.0737945,0.556735,4.48394,0.635516,0.366874,0.651467,2.55985,0.173254,0.235395,0,0.71915,0.0618234,0,-0.000344227,0.246302,0.964014,0.192855,0.0522228,0.0543449,0.00591969,0.00514671,0.449468,0.0508428,6.07776,-0.307998,10.5635,0.667212,0.652255,-6.17771,-0.333333,0.000824443,-0.0575249,0.503719,48.2083,22,0,0,1.16667,18.4583,0,-6.73282,0.0001,-0.0016429,0.0320625,1.65632,0.125901,55158,0.173981,204.32,1.15707
5917,2.43106,0.194049,0.756557,0.324976,0.00475923,2.64488e-05,0.00475923,0.189975,0.178455,0.600255,0.792748,0.0513045,0.0226847,0.0489051,0.229414,0.0473999,0,0.949717,0.0851344,2.14922,0.179155,0,0.0732689,0.580257,4.62842,0.6543,0.402716,0.616352,2.424,0.203956,0.225769,0,0.874363,0.233889,0,-0.000595361,0.242313,0.965594,0.236044,0.049844,0.051932,0.00648496,0.0056406,0.456202,0.0485607,5.47838,-0.0686476,10.6573,0.658512,0.625869,-7.22402,-0.333333,0.000913319,-0.0669896,0.619469,40.0417,25.5,0,0,2.16667,21.2917,0,-6.73221,0.0001,-0.000641164,0.00660865,1.648,0.124698,55454,0.174006,215.34,1.56441
5918,2.47948,0.205489,0.841297,0.331275,0.0045358,2.54145e-05,0.0045358,0.199908,0.190253,0.590071,0.909791,0.049452,0.0241094,0.0471217,0.223131,0.0450809,0,0.96739,0.104286,2.22741,0.171668,0,0.071632,0.599142,4.75431,0.6705,0.430757,0.587367,2.31663,0.227393,0.219285,0,0.953018,0.40616,0,-0.000805303,0.231593,0.967116,0.270587,0.0478051,0.0497307,0.0062561,0.00528575,0.459222,0.0465942,4.92116,-0.0691198,10.5646,0.655735,0.601361,-7.97043,-0.333333,0.000921358,-0.0736762,0.695461,11.6667,8.375,0,0,1.08333,9.16667,0,-6.73032,0.0001,-0.000585222,0.00397742,1.64275,0.123133,55668,0.173987,223.71,1.79864
5919,2.51604,0.176344,0.780056,0.293911,0.00429383,2.08381e-05,0.00429383,0.178221,0.167979,0.57631,0.881232,0.0475701,0.0251011,0.0453573,0.199872,0.0475674,0,0.914472,0.100717,2.29942,0.171607,0,0.0694903,0.623192,4.91421,0.689894,0.461125,0.557686,2.21954,0.214143,0.195995,0,0.902778,0.358532,0,-0.000946336,0.244167,0.968122,0.302115,0.0462322,0.0476417,0.00645038,0.005502,0.471176,0.0451299,3.59266,0.000906914,10.4035,0.654739,0.567809,-8.75818,-0.333333,0.000805761,-0.0690722,0.634402,1.125,1.29167,0,0,0.458333,1.125,0,-6.72838,0.0001,-0.0010242,0.006841,1.60479,0.124681,56840,0.174026,228.59,1.75161
