step,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.9205,0.0001,-0.000927209,0.0961821,1.20621,0.160029,71952,0.127475,,
1601,0.156498,0.12107,0.027305,0.0272871,0.462596,0.139133,0.74404,0.123138,0.0252928,0.0652063,0.0146203,0.236362,0.0134433,0,0.158771,0.0232472,4.55588,0.0730937,0.272254,0.100409,0.57673,5.67701,0.824562,0.828198,0.0990529,0.498456,0.159797,0.228981,0.00214777,0.00214777,0,0,-0.00526717,0.113595,0.818417,0.639678,0.0155119,0.0280342,0.00427988,0.00188095,0.468935,0.0108832,-5.03582,-15.2953,19.7443,0.429453,1.61828,-7.90386,-0.833333,-0.0791245,0.542511,0.125,9.25,0,0,6.20833,0,0,-10.9214,0.0001,-3.97375e-05,0.17263,1.4785,0.127425,61213,0.1275,47.97,1.37137
1602,0.450617,0.482681,0.0167505,0.00890493,0.636098,0.400813,0.835357,0.542025,0.026098,0.0406006,0.0177115,0.181507,0.0105952,0,0.241347,0.137111,4.30397,0.0669183,0.299957,0.0843162,0.841361,6.77744,0.954451,0.945728,0.0514896,0.277464,0.501847,0.201374,0.682533,0.682533,0,0,-0.00435623,0.035118,0.948803,0.803684,0.0134732,0.0235931,0.00426333,0.00379244,0.577501,0.0131457,-8.12496,-6.7485,13.832,0.575926,0.96096,-17.7689,-0.909091,-0.173661,2.18512,0.666667,13.375,0,0,82.8333,63.9167,0,-10.9186,0.0001,-0.000713055,0.0633635,1.59361,0.125649,57178,0.127523,71.1,2.69931
1603,0.369826,0.438604,0.0163092,0.0121519,0.564903,0.333112,0.824521,0.492961,0.023683,0.0581852,0.0157223,0.165919,0.0123567,0,0.227779,0.103523,4.38391,0.0873429,0.293786,0.0845453,0.859424,6.69937,0.961574,0.947158,0.0499815,0.299242,0.414163,0.179665,0.523515,0.523515,0,0,-0.00477271,0.0521858,0.923254,0.793057,0.0134962,0.0226563,0.00379939,0.00320171,0.559059,0.0114954,-8.9247,-12.3007,13.6377,0.627293,1.02159,-14.3235,-0.909091,-0.164231,1.97823,0.333333,4.41667,0,0,6.45833,1.08333,0,-10.9179,0.0001,-0.00069306,0.156808,1.56115,0.127034,58230,0.127551,49.17,1.08595
1604,0.462285,0.436827,0.0186246,0.0122397,0.674929,0.400641,0.835321,0.467476,0.0253157,0.0464709,0.0168455,0.202964,0.0109822,0,0.240283,0.117606,4.49736,0.0699584,0.301147,0.0848094,0.849441,6.76034,0.95514,0.93965,0.0557568,0.275559,0.492417,0.221878,0.497417,0.497417,0,0,-0.00460831,0.0329465,0.942544,0.798057,0.0131043,0.0237844,0.00413404,0.00287784,0.556454,0.0117836,-6.77909,-9.03556,14.8419,0.55611,1.05306,-15.7776,-0.908889,-0.16625,1.96359,0.541667,23.9167,0,0,59.5833,53.7083,0.0416667,-10.9163,0.0001,1.59247e-05,0.0799724,1.60248,0.125736,56881,0.12757,60.18,2.76966
1605,0.436967,0.483355,0.0163829,0.00880777,0.619939,0.385793,0.830525,0.53768,0.0246027,0.0477326,0.0166413,0.177424,0.0112002,0,0.241091,0.131184,4.29339,0.0753273,0.298382,0.083595,0.840663,6.76511,0.958924,0.946919,0.0496299,0.274509,0.478918,0.19515,0.656698,0.656698,0,0,-0.00461894,0.0403243,0.938106,0.807304,0.0131259,0.0225642,0.00405498,0.00364741,0.574485,0.0121456,-8.40175,-9.29544,13.5293,0.608324,0.967863,-16.2936,-0.909091,-0.174963,2.18096,1.125,5.375,0,0,18.125,17.6667,0,-10.9166,0.0001,6.35217e-05,0.117925,1.61,0.125005,56659,0.127568,59.92,1.92691
1606,0.454443,0.42603,0.0189336,0.0131442,0.672434,0.396718,0.834063,0.456635,0.0253911,0.0477408,0.016827,0.203902,0.0112126,0,0.236982,0.113268,4.56204,0.0710651,0.299912,0.0852096,0.853151,6.7359,0.955011,0.938655,0.0574549,0.291115,0.484459,0.222245,0.457855,0.457855,0,0,-0.00463346,0.0334054,0.939764,0.791285,0.013284,0.0241278,0.00399375,0.002583,0.550021,0.0116793,-6.74661,-9.49054,15.2182,0.549892,1.08736,-15.3723,-0.909091,-0.163079,1.91106,0.458333,19,0,0,42.2083,26.9583,0,-10.9187,0.0001,-0.000411267,0.115954,1.5744,0.125107,57842,0.127587,56.54,2.23605
1607,0.459494,0.482758,0.0169173,0.00880439,0.64764,0.403662,0.834146,0.532546,0.0249151,0.0434024,0.0168597,0.185462,0.0104678,0,0.244341,0.135057,4.29814,0.0692147,0.299531,0.0824844,0.843723,6.80365,0.957381,0.945188,0.0506629,0.256034,0.502949,0.205375,0.655511,0.655511,0,0,-0.00453551,0.0348805,0.946047,0.812019,0.0127895,0.0225747,0.00414166,0.00356001,0.574345,0.0122013,-7.91991,-8.09285,13.5087,0.591184,0.955738,-17.0292,-0.909091,-0.175404,2.17881,0.75,9,0,0,35.2917,40.0417,0,-10.9179,0.0001,-3.58755e-05,0.0981411,1.59221,0.125188,57240,0.127617,62.35,2.38842
1608,0.446866,0.438818,0.0183086,0.011993,0.657965,0.391479,0.833306,0.472564,0.0257484,0.0461009,0.0171525,0.197018,0.0113244,0,0.238031,0.115827,4.51583,0.0720664,0.29985,0.0861308,0.852114,6.73884,0.954736,0.94068,0.0561593,0.299223,0.478568,0.215813,0.502387,0.502387,0,0,-0.00453962,0.0352868,0.94024,0.79131,0.013567,0.0242051,0.00382734,0.00275015,0.554863,0.0122984,-7.41254,-8.90595,14.8954,0.55786,1.0515,-15.9428,-0.909091,-0.165777,1.97291,0.625,12.0833,0,0,28.25,16.875,0,-10.9146,0.0001,-0.000584187,0.127931,1.62528,0.123935,56199,0.127691,53.77,1.9935
1609,0.463505,0.462364,0.0176983,0.010264,0.661166,0.404579,0.8357,0.507077,0.0253548,0.0431657,0.0170546,0.193367,0.0106416,0,0.242705,0.12918,4.3884,0.0685732,0.29995,0.0843458,0.847284,6.79117,0.955668,0.942657,0.0530609,0.265763,0.50361,0.213497,0.597232,0.597232,0,0,-0.00452402,0.0334255,0.946374,0.804565,0.0130271,0.0232567,0.00421367,0.00331667,0.567457,0.0122892,-7.40089,-8.08711,14.137,0.569453,0.992017,-16.7476,-0.909091,-0.171081,2.08487,0.916667,13.5417,0,0,43.7083,44.7917,0,-10.9082,0.0001,-0.000546245,0.0984105,1.58942,0.120852,57478,0.127714,57.7,2.2844
