step,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/action_over_limit,Episode_Reward/curriculum_accelerate,Episode_Reward/curriculum_alignment,Episode_Reward/curriculum_continuous,Episode_Reward/curriculum_hold,Episode_Reward/curriculum_steering,Episode_Reward/curriculum_transfer,Episode_Reward/dynamic_action_rate,Episode_Reward/failure,Episode_Reward/foreaft_balance,Episode_Reward/joint_torques_l2,Episode_Reward/self_collisions,Episode_Reward/waist_support,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10,0.0266667,0.0578346,0.00625988,0.0557374,0.221723,0.0480939,0,0.630043,0.000416667,1.45441,0.198042,0,0.0735493,0.420458,3.89573,0.524325,0.140388,0.769652,3.17459,0.0104167,0.22106,0,0,0,0,0.000656331,0.306567,0.959927,0.11516,0.0570244,0.0590695,0.00447536,0.00278636,0.413548,0.0572348,8.78631,-3.68583,4.22253,0.87715,0.527218,-1.66638,-0.182018,0.524124,-0.00279691,0.000123601,0.00119814,0.0066013,0.0314722,-0.00294626,-0.333333,-0.0246406,-0.000308453,-0.036451,0.00617577,22.75,74.7917,0,0,0,0,0,-14.7832,1e-05,0.0358548,4.88198,1.37775,0.12577,65382,0.0841949,123.58,0.369408
11,0,0.0603274,-0.000674962,0.0589546,0.228166,0.0377641,0,0.56689,0,1.31791,0.169979,0,0.0776887,0.414182,3.60228,0.481136,0.0660845,0.846772,3.52973,0,0.220183,0,0,0,0,0.00136816,0.324106,0.95972,0.0618964,0.0609269,0.0616896,0.00799313,0.00534772,0.425627,0.0616601,10.5514,-3.14683,3.39866,0.895962,0.566195,-1.05862,-0.102715,0.549329,-0.00725504,0,0,0.0044391,0.0121026,-0.000652012,-0.333333,-0.032563,-0.000280522,-0.00979357,0.000828078,40.0833,53.4583,0,0,0,0,0,-14.7827,1e-05,0.0991088,0.924594,1.53496,0.120049,59397,0.0841974,131.87,0.666253
12,0,0.057976,-0.000144833,0.0568454,0.218959,0.0435957,0,0.579192,0,1.41994,0.17997,0,0.0803708,0.413116,3.74392,0.503817,0.104483,0.819372,3.3876,0,0.211339,0,0,0,0,0.00104959,0.333584,0.954094,0.0924941,0.0586092,0.0593018,0.00287004,0.00077879,0.428505,0.0592089,9.58137,-4.59211,4.38112,0.861803,0.649314,-1.63343,-0.088653,0.524863,-0.016652,0,2.00583e-09,0.00565184,0.020065,-0.000606034,-0.333333,-0.0676474,-0.000313277,-0.0315333,0.00199392,7.125,7.29167,0,0,0,0,0,-14.7822,5.0625e-05,0.0113972,0.122977,1.57688,0.127252,57685,0.0842035,138.22,0.0869007
13,0,0.0514172,0.00104425,0.0506053,0.205958,0.0732464,0,0.619651,0,1.73568,0.192856,0,0.084817,0.424503,4.21666,0.567216,0.197231,0.758968,3.04161,0,0.199543,0,0,0,0,-0.000468676,0.376291,0.938836,0.183395,0.0514007,0.0520655,-0.00849734,-0.00958814,0.470082,0.0508574,9.57405,-6.64508,5.6021,0.817347,0.707114,-3.16096,-0.0929184,0.458072,-0.0577461,0,5.40123e-07,0.00511725,0.0380574,-0.000749889,-0.333333,-0.153609,-0.000412112,-0.0911111,0.00648997,0.541667,1.29167,0,0,0,0,0,-14.7777,1e-05,-0.000125551,0.0654639,1.3329,0.121688,67582,0.0842395,141.01,-0.148682
14,0,0.045084,-0.000447266,0.0448544,0.178209,0.119914,0,0.610189,0,1.87699,0.253936,0,0.0883192,0.415097,4.22178,0.592368,0.289509,0.754118,2.75725,0,0.17348,0,0,0,0,-0.00147547,0.509228,0.919216,0.258788,0.0455732,0.0451743,-0.0167789,-0.0163709,0.488745,0.0436369,9.08378,-8.07486,5.82591,0.800354,0.625889,-4.44092,-0.0971344,0.324338,-0.127593,0,3.24074e-06,0.00243689,0.044874,-0.000701346,-0.333333,-0.360909,-0.000469729,-0.171667,0.010236,0,2,0,0,0,0,0,-14.7451,0.000256289,-4.72354e-05,0.103042,1.15448,0.124375,76868,0.0848158,141.01,-0.148682
15,0,0.0557975,-3.90008e-05,0.0539983,0.216275,0.072595,0,0.580328,0,1.47149,0.219034,0,0.0815103,0.385014,3.8128,0.517294,0.131452,0.810825,3.24431,0,0.210505,0,0,0,0,0.000502307,0.403418,0.943474,0.133582,0.0555052,0.0569246,0.000979563,-0.000488424,0.430315,0.0551349,10.2203,-4.70113,4.40087,0.867067,0.612889,-1.87931,-0.098671,0.439207,-0.0493665,0,1.21528e-06,0.0014781,0.0192534,-0.000599888,-0.333333,-0.143448,-0.000332414,-0.0717346,0.00398102,11.5417,47.7083,0,0,0,0,0,-14.6749,1e-05,0.117432,2.4192,1.37943,0.121503,65495,0.0848532,125.3,0.492315
16,0,0.0605372,-0.000425793,0.0589275,0.229721,0.0380207,0,0.562107,0,1.34907,0.171813,0,0.0776913,0.406647,3.55783,0.473583,0.0585205,0.846731,3.553,0,0.221608,0,0,0,0,0.00133365,0.325842,0.959236,0.064355,0.0608409,0.0618911,0.00769382,0.00516914,0.414276,0.0615719,10.8367,-2.90513,3.31355,0.900232,0.552486,-0.910141,-0.119642,0.54708,-0.00583262,0,0,0.00375945,0.0111014,-0.000636767,-0.333333,-0.0240801,-0.000269282,-0.00567832,0.000777184,33.875,69.7083,0,0,0,0,0,-14.6739,1e-05,0.0726747,1.79956,1.53559,0.124744,59207,0.0848558,128.89,0.391413
17,0,0.0596043,-0.000584547,0.0583838,0.221766,0.0363568,0,0.562866,0,1.38998,0.165415,0,0.0772768,0.422375,3.6316,0.485848,0.0784667,0.840431,3.50596,0,0.213701,0,0,0,0,0.00103614,0.32616,0.959084,0.0735206,0.0600654,0.0607955,0.00481424,0.0024995,0.423704,0.0608526,10.1505,-3.60951,3.61673,0.884762,0.57634,-1.30978,-0.110301,0.552866,-0.0101622,0,1.89841e-07,0.00514818,0.0164913,-0.000623661,-0.333333,-0.0423193,-0.000281947,-0.00848584,0.00133924,17.0417,22.9167,0,0,0,0,0,-14.6736,1.5e-05,0.0143503,0.357555,1.53152,0.124663,59355,0.0848577,135.18,0.253733
18,0.000333333,0.0576098,0.000338628,0.0562674,0.213624,0.0374957,0,0.574947,3.01205e-06,1.58813,0.151567,0,0.0812173,0.423016,3.80273,0.505337,0.119104,0.815723,3.43168,0.000100402,0.205671,0,0,0,0,0.000655777,0.327652,0.952418,0.0990414,0.0579628,0.0588451,0.00144614,-0.000643505,0.422363,0.0584871,9.09724,-5.18535,4.65043,0.856008,0.665426,-1.71497,-0.10984,0.567755,-0.0188683,3.78333e-05,5.03868e-05,0.00605261,0.0216313,-0.000730315,-0.333333,-0.0790271,-0.000333408,-0.0311556,0.00235289,1.33333,2.5,0,0,0,0,0,-14.6727,7.59375e-05,0.0069396,0.0955163,1.52881,0.126385,59391,0.0848752,138.04,0.144119
19,0.0183333,0.0548162,5.24817e-05,0.0540078,0.223409,0.0572091,0,0.625593,0.000607735,1.78419,0.191723,0,0.0868724,0.417159,3.91406,0.512773,0.138821,0.792926,3.24424,0.00506446,0.216588,0,0,0,0,-0.000287558,0.353082,0.951962,0.141048,0.0552204,0.0555762,0.000660936,-0.0011181,0.422626,0.0555762,8.24468,-5.77987,5.21969,0.831699,0.723688,-2.14923,-0.149284,0.524886,-0.0308516,0.00256175,0.00112855,0.00766248,0.0313563,-0.000917003,-0.333333,-0.0562721,-0.000380313,-0.031875,0.00488167,0.916667,1.41667,0,0,0.0833333,0,0,-14.6554,1.5e-05,0.001053,0.07864,1.21915,0.123831,73198,0.0850237,139.88,0.0424826
