step,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/action_over_limit,Episode_Reward/curriculum_accelerate,Episode_Reward/curriculum_alignment,Episode_Reward/curriculum_continuous,Episode_Reward/curriculum_hold,Episode_Reward/curriculum_steering,Episode_Reward/curriculum_transfer,Episode_Reward/dynamic_action_rate,Episode_Reward/failure,Episode_Reward/foreaft_balance,Episode_Reward/joint_torques_l2,Episode_Reward/self_collisions,Episode_Reward/waist_support,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
32,0,0.0602712,-0.000618611,0.0588972,0.226685,0.0366332,0,0.558443,0,1.35043,0.166311,0,0.0756982,0.407103,3.57422,0.476793,0.0625407,0.849379,3.56044,0,0.218369,0,0,0,0,0.00135364,0.32844,0.96026,0.0623499,0.0608226,0.0616439,0.00799876,0.00545756,0.418352,0.0617079,10.6697,-3.01438,3.26179,0.899626,0.549138,-1.0339,-0.115706,0.55522,-0.00728743,0,2.10014e-13,0.00426504,0.0132695,-0.000586757,-0.333333,-0.0279246,-0.000269455,-0.00514641,0.000927831,26,39.2917,0,0,0,0,0,-14.6066,1e-05,0.00762746,0.99139,1.47919,0.12086,61438,0.0852642,130.27,0.507262
33,0,0.0597152,-0.000765707,0.0585481,0.219599,0.0366509,0,0.552201,0,1.37121,0.168953,0,0.0770543,0.422511,3.6091,0.482616,0.0740484,0.849021,3.53138,0,0.211024,0,0,0,0,0.00115908,0.3313,0.960186,0.0677374,0.0603979,0.0609598,0.00666032,0.00417152,0.422632,0.0613692,10.2769,-3.53899,3.49025,0.889306,0.565884,-1.22944,-0.110601,0.552159,-0.0103452,0,0,0.0052212,0.0154642,-0.000574062,-0.333333,-0.0380003,-0.000272105,-0.00540968,0.00107954,20.5417,24.75,0,0,0,0,0,-14.6063,3.375e-05,0.00747623,0.288001,1.52511,0.122422,59667,0.0852666,131.5,0.444683
34,0,0.0582634,-0.000527594,0.0572433,0.215913,0.0401067,0,0.565055,0,1.45874,0.169649,0,0.0773689,0.418657,3.71308,0.499028,0.0988964,0.83097,3.42953,0,0.208067,0,0,0,0,0.000699708,0.338912,0.957066,0.0883188,0.0585768,0.0592365,0.00245052,0.000161472,0.421032,0.0593533,9.47598,-4.25379,3.93756,0.870971,0.603517,-1.70624,-0.106267,0.54574,-0.0178459,0,2.6005e-06,0.00537431,0.0208199,-0.000610764,-0.333333,-0.0686909,-0.000299116,-0.0144442,0.00198874,4.875,5.58333,0,0,0,0.0833333,0,-14.6057,5.0625e-05,0.0054186,0.124804,1.50343,0.12152,60496,0.0852714,137.19,0.165443
35,0,0.0597216,-0.00010832,0.0580715,0.226679,0.0435015,0,0.564325,0,1.35764,0.185068,0,0.0780198,0.388197,3.71367,0.491412,0.0694736,0.826565,3.41638,0,0.219909,0,0,0,0,0.000894937,0.349576,0.95813,0.0819573,0.0592335,0.0611012,0.00333956,0.00161428,0.400963,0.0598741,9.69052,-3.76443,3.69841,0.886233,0.635414,-1.10205,-0.111121,0.517146,-0.00934485,0,1.19591e-07,0.00318283,0.0163576,-0.000647546,-0.333333,-0.0406166,-0.000286317,-0.0122964,0.0015444,2.04167,5.95833,0,0,0,0,0,-14.6043,1e-05,0.00294768,0.583546,1.46726,0.118617,61987,0.0852799,121.46,0.0898274
36,6.66667e-05,0.0617911,5.51887e-05,0.0594483,0.241441,0.0402232,0,0.574574,1.31086e-06,1.30549,0.181764,0,0.0751924,0.363017,3.55805,0.472299,0.0443684,0.838014,3.53111,3.27715e-05,0.233597,0,0,0,0,0.00149724,0.325304,0.958483,0.0557017,0.0613986,0.0634479,0.00780953,0.00530218,0.394399,0.0618156,10.6981,-2.7682,3.46635,0.90633,0.589003,-0.557782,-0.139792,0.537567,-0.0030829,4.56043e-06,7.85243e-07,0.00123443,0.00601672,-0.000696673,-0.333333,-0.0129347,-0.000265729,-0.00955812,0.000352595,11.0833,39.25,0,0,0,0.0416667,0,-14.6036,1e-05,0.00672378,1.24942,1.48611,0.120053,61204,0.0852832,125.07,0.406181
37,0,0.0601628,-0.000569134,0.0587267,0.231335,0.0403602,0,0.565971,0,1.34759,0.173324,0,0.0769347,0.395914,3.57021,0.476096,0.0586334,0.846477,3.56018,0,0.223044,0,0,0,0,0.00142407,0.327822,0.959703,0.0628762,0.0606189,0.061566,0.00816168,0.00562061,0.414744,0.0614632,10.8026,-2.95424,3.2752,0.900816,0.556023,-0.973832,-0.114909,0.539196,-0.00573618,0,0,0.00364709,0.0131142,-0.000593546,-0.333333,-0.0230931,-0.0002717,-0.00531369,0.000927306,21.5833,35.8333,0,0,0,0,0,-14.6031,3.375e-05,0.0029609,1.03937,1.51192,0.12263,60141,0.0852865,129.08,0.541189
38,0,0.0598764,-0.000718854,0.0586347,0.220741,0.0379895,0,0.55153,0,1.35503,0.171397,0,0.0768953,0.419758,3.58137,0.479782,0.070442,0.85002,3.54474,0,0.212291,0,0,0,0,0.00130318,0.33237,0.959774,0.0660731,0.06059,0.0612168,0.00777679,0.00528799,0.419922,0.0615612,10.4989,-3.27874,3.40402,0.8938,0.555775,-1.17363,-0.10946,0.545774,-0.00922994,0,2.86225e-06,0.00496296,0.0144745,-0.000572725,-0.333333,-0.0331221,-0.000269601,-0.00588373,0.0010367,23.1667,30.7083,0,0,0,0,0,-14.6023,5.0625e-05,0.00400991,0.403229,1.52669,0.125152,59511,0.0852931,132.06,0.372752
39,7.57576e-05,0.0591973,-0.000652321,0.0581134,0.217815,0.0366958,0,0.556125,9.01876e-07,1.40055,0.163551,0,0.0763923,0.422384,3.64436,0.489338,0.082734,0.842621,3.48367,2.25469e-05,0.209571,0,0,0,0,0.000967102,0.330045,0.959561,0.0766763,0.0596394,0.0602835,0.00459541,0.00226984,0.419935,0.0605345,9.84717,-3.78261,3.68418,0.880955,0.580653,-1.43738,-0.107141,0.550922,-0.0116392,8.93939e-06,1.79821e-05,0.00562547,0.0185951,-0.000579486,-0.333333,-0.0465023,-0.000282522,-0.0073276,0.00159762,11.0833,12.4167,0,0,0,0,0,-14.5997,3.375e-05,0.00780255,0.153304,1.52629,0.11886,59753,0.0853185,134.53,0.477861
40,0,0.0606929,-0.000197373,0.058708,0.226112,0.0378595,0,0.562019,0,1.35699,0.178181,0,0.0751192,0.395012,3.62463,0.484471,0.0692727,0.83872,3.50066,0,0.218765,0,0,0,0,0.00121442,0.335253,0.958593,0.068704,0.0605726,0.0621034,0.0055417,0.00327703,0.403876,0.0612594,9.96736,-3.63666,3.8266,0.88633,0.603946,-0.988361,-0.12407,0.54611,-0.00895927,0,0,0.00374007,0.0126615,-0.000669316,-0.333333,-0.0462167,-0.000272288,-0.0113575,0.00106076,2.625,6.125,0,0,0,0,0,-14.5962,1e-05,0.00363719,0.422901,1.47197,0.119838,61756,0.0853308,123.88,0.118592
41,0,0.0622261,0.000217558,0.0596026,0.242955,0.0388103,0,0.578173,0,1.29924,0.180843,0,0.074563,0.363779,3.5754,0.472497,0.0433622,0.835221,3.5182,0,0.235692,0,0,0,0,0.00144995,0.329112,0.958136,0.0563713,0.061516,0.0638582,0.00763684,0.00526027,0.390913,0.0618606,10.6324,-2.81246,3.59039,0.904784,0.605987,-0.486104,-0.154923,0.546615,-0.00323302,0,0,0.00106396,0.00505045,-0.000785942,-0.333333,-0.0122224,-0.000265003,-0.010863,0.000332174,7.75,31.7083,0,0,0,0,0,-14.5953,1e-05,0.0039023,0.848381,1.47832,0.119655,61517,0.0853339,125.56,0.384117
42,0,0.0602958,-0.000426899,0.0587986,0.234307,0.0390767,0,0.568995,0,1.3445,0.168467,0,0.0756118,0.386647,3.57295,0.475454,0.0551858,0.841429,3.54648,0,0.225856,0,0,0,0,0.00141318,0.322566,0.959611,0.0620744,0.0606581,0.061786,0.00750121,0.00500375,0.410797,0.0613961,10.7824,-2.92568,3.27954,0.901875,0.560121,-0.907501,-0.119595,0.545905,-0.00476128,0,0,0.00289526,0.0119554,-0.000611065,-0.333333,-0.0206916,-0.000273013,-0.00551016,0.000851937,16.875,32.4167,0,0,0,0,0,-14.5947,7.59375e-05,0.00221443,0.807936,1.49046,0.120792,61010,0.0853407,128.39,0.707603
43,0,0.0599378,-0.000689836,0.0587173,0.22476,0.0371351,0,0.557286,0,1.35173,0.166706,0,0.07631,0.414611,3.57835,0.478775,0.0665642,0.849603,3.54427,0,0.216128,0,0,0,0,0.0013414,0.330444,0.959919,0.0646757,0.0606783,0.0613397,0.0084139,0.00586193,0.422133,0.0616344,10.6793,-3.15295,3.33963,0.896382,0.551029,-1.11106,-0.109959,0.553662,-0.00802292,0,0,0.0048108,0.0144247,-0.000573425,-0.333333,-0.0324051,-0.000268065,-0.00502379,0.000987434,21.7917,31.25,0,0,0,0,0,-14.5932,5.0625e-05,0.00379539,0.453361,1.49613,0.118649,60877,0.0853488,130.71,0.384388
44,0,0.0596674,-0.000725226,0.0585604,0.218101,0.0355994,0,0.551479,0,1.38929,0.164665,0,0.0757737,0.421933,3.62364,0.485388,0.0770444,0.844462,3.50537,0,0.209622,0,0,0,0,0.00102128,0.331573,0.959732,0.0700505,0.0602712,0.0608599,0.00596706,0.00352694,0.419601,0.0611896,10.0925,-3.60785,3.59589,0.884766,0.578437,-1.29473,-0.111083,0.554682,-0.0106569,0,0,0.00552005,0.017288,-0.000575038,-0.333333,-0.0398812,-0.000276708,-0.00573953,0.00132841,17.0833,20.7083,0,0,0,0,0,-14.5916,7.59375e-05,0.0038785,0.16612,1.49939,0.120034,60703,0.0853631,133.15,0.42169
45,0,0.0600573,-0.000214884,0.0583978,0.222807,0.0398457,0,0.562202,0,1.39043,0.17569,0,0.0778949,0.407314,3.64518,0.488416,0.0774758,0.836146,3.46517,0,0.215137,0,0,0,0,0.00096085,0.33809,0.958447,0.0719097,0.0601427,0.0613261,0.00446157,0.00231614,0.412649,0.0607773,9.86545,-3.65064,3.78892,0.885406,0.604965,-1.20361,-0.1304,0.544254,-0.0125564,0,2.47921e-06,0.00410057,0.014572,-0.000686572,-0.333333,-0.0378782,-0.000279764,-0.0125916,0.00135931,5.66667,8.625,0,0,0,0.0416667,0,-14.5894,1e-05,0.00233538,0.284478,1.4975,0.120296,60764,0.0853711,129.47,0.0540775
46,0,0.0620877,0.000276091,0.0594768,0.242279,0.0415554,0,0.578064,0,1.31104,0.184655,0,0.0754017,0.35942,3.57254,0.473172,0.0459272,0.83277,3.5049,0,0.234782,0,0,0,0,0.00141936,0.32963,0.957666,0.0584725,0.0614428,0.0637682,0.00749161,0.00512052,0.387131,0.0617984,10.5651,-2.95224,3.67973,0.901841,0.615079,-0.529723,-0.155315,0.536884,-0.00349156,0,1.05546e-06,0.00115537,0.00567304,-0.000804518,-0.333333,-0.015147,-0.000266617,-0.0123733,0.000449201,6.16667,26.625,0,0,0,0.0416667,0,-14.5886,1e-05,0.0038203,0.556971,1.50475,0.11981,60511,0.0853749,124.63,-0.0049604
47,0,0.0604653,-0.000314699,0.0588258,0.236674,0.0408986,0,0.572105,0,1.34774,0.173373,0,0.0763477,0.374833,3.55863,0.474469,0.0526286,0.837896,3.54205,0,0.228333,0,0,0,0,0.00138374,0.323006,0.959579,0.0611073,0.0606619,0.0619197,0.00677217,0.00427957,0.406628,0.0612724,10.7252,-2.85314,3.28973,0.903505,0.566014,-0.834593,-0.123389,0.535025,-0.00439204,0,0,0.0023712,0.0105938,-0.000646071,-0.333333,-0.0173952,-0.000272814,-0.00621733,0.00075312,14.0417,30.4583,0,0,0,0,0,-14.5879,1e-05,0.00142252,0.459526,1.49747,0.122352,60688,0.0853796,127.88,0.491898
48,0,0.0598561,-0.000674051,0.0586162,0.227442,0.0396427,0,0.560541,0,1.35039,0.169337,0,0.076158,0.407898,3.58921,0.479637,0.0631874,0.847527,3.54402,0,0.218864,0,0,0,0,0.00137619,0.326193,0.959489,0.0643317,0.0605391,0.0612425,0.00828799,0.00571033,0.422318,0.0614502,10.8629,-3.07942,3.29384,0.898496,0.549881,-1.06582,-0.107966,0.543205,-0.00668539,0,4.87632e-08,0.00427062,0.0145242,-0.000569568,-0.333333,-0.0275358,-0.000269539,-0.00498131,0.00102873,18.2917,27.5833,0,0,0,0,0,-14.5863,7.59375e-05,0.00169901,0.393751,1.49701,0.120041,60792,0.0853981,129.48,0.53406
49,0,0.0597016,-0.000734429,0.0584707,0.220073,0.0374542,0,0.551077,0,1.35959,0.168831,0,0.0766736,0.418932,3.59486,0.481902,0.071797,0.848931,3.53842,0,0.211555,0,0,0,0,0.00122004,0.333841,0.959724,0.0685602,0.0603774,0.0609914,0.00738028,0.00488709,0.422119,0.0613406,10.3817,-3.43467,3.47444,0.89128,0.55985,-1.1752,-0.108676,0.547556,-0.00980389,0,0,0.00511761,0.015828,-0.000561873,-0.333333,-0.0345475,-0.000268905,-0.00577536,0.00128663,18.0417,26.125,0,0,0,0,0,-14.5827,7.59375e-05,0.00281596,0.193139,1.49496,0.122161,60789,0.0854179,132.86,0.430965
50,0,0.0596701,-0.000485321,0.0583181,0.219102,0.0385774,0,0.55432,0,1.38376,0.173743,0,0.0773921,0.415982,3.65921,0.489394,0.078785,0.839155,3.47415,0,0.210848,0,0,0,0,0.000930062,0.335958,0.959179,0.0735647,0.0599519,0.0608462,0.00498315,0.00270572,0.416917,0.0607295,9.93736,-3.80513,3.75335,0.883349,0.589315,-1.25857,-0.117766,0.542401,-0.0120672,0,2.28999e-06,0.00498312,0.016468,-0.000639232,-0.333333,-0.0508273,-0.000277663,-0.0102466,0.00142449,10.75,13.5,0,0,0,0.0416667,0,-14.5801,1e-05,0.00152101,0.206822,1.49362,0.119184,60952,0.0854294,130.05,0.0183431
51,0,0.0619026,0.00029093,0.0593089,0.238715,0.0402389,0,0.575122,0,1.32271,0.184847,0,0.0754363,0.368658,3.6092,0.477783,0.0517371,0.829997,3.47454,0,0.231246,0,0,0,0,0.00127673,0.330055,0.958102,0.0624429,0.0610674,0.0634816,0.00641221,0.00420554,0.389582,0.0614188,10.3276,-3.14089,3.76478,0.897311,0.621219,-0.643634,-0.150378,0.537828,-0.00502894,0,1.80023e-06,0.0016606,0.00798076,-0.000769256,-0.333333,-0.0209314,-0.000271268,-0.0130512,0.0007631,7.08333,22.75,0,0,0,0,0,-14.5785,1e-05,0.00402304,0.349326,1.49901,0.120016,60717,0.0854391,124.17,0.283549
52,0,0.0607442,-0.000225287,0.0588744,0.238062,0.0405481,0,0.573721,0,1.33411,0.174821,0,0.0759054,0.372776,3.56246,0.473962,0.0515636,0.839711,3.54387,0,0.229762,0,0,0,0,0.0013915,0.322894,0.958725,0.0615804,0.0606976,0.0622119,0.0075131,0.0049735,0.402754,0.0612678,10.6814,-2.94061,3.40579,0.902001,0.579614,-0.766124,-0.123424,0.539876,-0.00438784,0,9.87801e-08,0.00197018,0.00892011,-0.000651611,-0.333333,-0.0185287,-0.00027323,-0.00765914,0.00063082,11.6667,29.4167,0,0,0,0,0,-14.5773,1.5e-05,0.0031935,0.266376,1.49653,0.118832,60855,0.0854448,126.36,0.375148
53,0,0.0599569,-0.00058393,0.058651,0.231785,0.0385735,0,0.568308,0,1.33999,0.165043,0,0.0754599,0.397484,3.57924,0.47819,0.0599653,0.845042,3.55108,0,0.223417,0,0,0,0,0.00134374,0.321618,0.959628,0.063191,0.060483,0.061321,0.00781721,0.00532031,0.420507,0.0613114,10.848,-3.0098,3.23794,0.90114,0.548971,-1.00607,-0.105826,0.549645,-0.00589213,0,0,0.00381053,0.0140349,-0.000573758,-0.333333,-0.0266516,-0.000271535,-0.0052555,0.000958984,16.5833,23.5833,0,0,0,0,0,-14.5754,3.375e-05,0.00260035,0.235358,1.52212,0.121455,59811,0.0854635,128.11,0.394999
54,0,0.0600247,-0.000791871,0.0587972,0.223641,0.0367628,0,0.555952,0,1.34807,0.165644,0,0.0758367,0.416934,3.57328,0.479345,0.0676509,0.850946,3.54487,0,0.215039,0,0,0,0,0.00135845,0.331549,0.960302,0.0636484,0.0608067,0.0613813,0.00842655,0.00587869,0.423316,0.0618002,10.6484,-3.18725,3.32282,0.896133,0.550369,-1.13714,-0.108998,0.556274,-0.00855295,0,3.43789e-07,0.00502818,0.0144726,-0.000574591,-0.333333,-0.0328394,-0.000266554,-0.00520258,0.00106037,18.5833,26.2083,0,0,0,0,0,-14.5733,1e-05,0.00734232,0.165577,1.49878,0.118509,60783,0.0854691,129.94,0.406004
55,0,0.0597769,-0.000701513,0.0585424,0.22027,0.037031,0,0.55372,0,1.36036,0.168134,0,0.0766571,0.418074,3.60805,0.483156,0.0741008,0.848276,3.52288,0,0.211915,0,0,0,0,0.00107772,0.331551,0.960108,0.0676928,0.0603205,0.0610154,0.0060776,0.00364958,0.419682,0.0612409,10.161,-3.53276,3.51424,0.88952,0.574438,-1.2498,-0.109531,0.550813,-0.01001,0,5.99541e-08,0.00515737,0.0159108,-0.000575643,-0.333333,-0.0366022,-0.000271988,-0.00637372,0.00118835,14.5,18.75,0,0,0,0,0,-14.5716,0.000113906,0.00225331,0.155098,1.50521,0.119884,60491,0.0854912,130.52,0.386734
56,0,0.0613885,-3.40148e-06,0.0591188,0.232992,0.0388263,0,0.566989,0,1.34364,0.180764,0,0.0754481,0.379431,3.61687,0.481236,0.0578626,0.8314,3.47021,0,0.225206,0,0,0,0,0.00121998,0.330774,0.958434,0.0632388,0.0609914,0.0629125,0.00560375,0.00330872,0.394829,0.0614165,10.1653,-3.35749,3.7657,0.893621,0.614479,-0.760916,-0.146023,0.540871,-0.00679063,0,6.16601e-08,0.00254549,0.00951545,-0.000739192,-0.333333,-0.0234351,-0.000274513,-0.0115631,0.000735448,8.33333,22.5,0,0,0,0,0,-14.5678,1e-05,0.00864776,0.210046,1.47641,0.11861,61631,0.0855033,123.9,0.135467
57,2.87356e-05,0.0610533,-8.57272e-05,0.0590298,0.237996,0.040938,0,0.573579,1.63271e-07,1.33562,0.178629,0,0.0759082,0.369527,3.56611,0.474727,0.0512047,0.835476,3.52825,8.16353e-06,0.229973,0,0,0,0,0.00135944,0.324035,0.958333,0.0602152,0.0608346,0.0625711,0.00766121,0.00507329,0.400722,0.0613654,10.6262,-3.00563,3.49599,0.902245,0.586077,-0.727139,-0.132459,0.535584,-0.0040206,1.97631e-06,2.44572e-06,0.00172438,0.00816044,-0.000684813,-0.333333,-0.0187309,-0.000273063,-0.008487,0.000606153,9.25,28.75,0,0,0,0,0,-14.5667,5.0625e-05,0.00460695,0.159813,1.47704,0.118082,61627,0.085512,126.14,0.465051
58,0,0.0600393,-0.000471828,0.0586772,0.234409,0.0390328,0,0.572541,0,1.3527,0.164568,0,0.0759509,0.384962,3.56761,0.476262,0.0584922,0.841386,3.5464,0,0.225929,0,0,0,0,0.00138109,0.323881,0.959112,0.0631415,0.0604975,0.0615061,0.00781768,0.00523652,0.416348,0.0612688,10.7702,-3.09225,3.30603,0.900147,0.558831,-0.958458,-0.11181,0.548702,-0.00569894,0,0,0.00321322,0.01343,-0.000590448,-0.333333,-0.0238778,-0.000277288,-0.00567843,0.000987296,11.625,22.3333,0,0,0,0,0,-14.5652,2.25e-05,0.00501111,0.130683,1.48481,0.119797,61263,0.0855184,128.28,0.403977
59,0,0.0599741,-0.000717968,0.0587634,0.224801,0.0382176,0,0.557571,0,1.34559,0.168194,0,0.0759291,0.412593,3.58384,0.480467,0.066618,0.849957,3.54449,0,0.216282,0,0,0,0,0.00141139,0.32896,0.959715,0.0627304,0.0607657,0.0614152,0.00851876,0.00589894,0.426242,0.0617049,10.7627,-3.13748,3.31284,0.897388,0.549313,-1.13604,-0.104139,0.548561,-0.00793193,0,0,0.00460174,0.0145526,-0.000559627,-0.333333,-0.0332088,-0.000269227,-0.00536617,0.00105677,17.8333,24.0417,0,0,0,0,0,-14.562,3.375e-05,0.00441028,0.111666,1.51356,0.122685,60079,0.0855524,130.17,0.404805
60,0,0.0598343,-0.000697172,0.0586079,0.220459,0.0373275,0,0.552571,0,1.35441,0.168329,0,0.0765435,0.421179,3.6258,0.485815,0.0724423,0.84779,3.51757,0,0.211982,0,0,0,0,0.00113654,0.331987,0.96023,0.0673478,0.0604604,0.0610786,0.00626294,0.00384697,0.423545,0.0613433,10.2216,-3.4735,3.53165,0.8896,0.571024,-1.19404,-0.111308,0.549309,-0.0100822,0,3.61667e-07,0.00510439,0.0158865,-0.000583426,-0.333333,-0.0349023,-0.000270303,-0.00653046,0.00129056,16.7083,21.3333,0,0,0,0,0,-14.5577,2.25e-05,0.00329686,0.116869,1.49901,0.123401,60591,0.0855679,131.92,0.397588
61,0,0.0611716,-0.000142384,0.0591342,0.229237,0.0392134,0,0.561458,0,1.34296,0.18056,0,0.0759697,0.387332,3.61125,0.479636,0.060819,0.839561,3.49263,0,0.221379,0,0,0,0,0.00115233,0.334983,0.958416,0.0642741,0.0609614,0.0625942,0.00686416,0.00450618,0.400067,0.0615439,10.1575,-3.37386,3.75052,0.892838,0.607406,-0.830729,-0.126525,0.541908,-0.00785363,0,6.44673e-08,0.00329858,0.0101255,-0.000654755,-0.333333,-0.0281428,-0.000270386,-0.0112217,0.000806258,9.91667,25.75,0,0,0,0.0416667,0,-14.5552,1e-05,0.00641064,0.122765,1.4886,0.122374,61021,0.085583,126.01,0.22135
62,0,0.0610106,-9.6105e-05,0.058964,0.236914,0.0407542,0,0.571953,0,1.33531,0.180369,0,0.0762988,0.373598,3.58256,0.476235,0.0525694,0.836057,3.51868,0,0.22882,0,0,0,0,0.0013872,0.325589,0.958308,0.0622752,0.0608227,0.062544,0.00712908,0.00461753,0.399867,0.0613145,10.52,-3.05158,3.54097,0.899828,0.590789,-0.74805,-0.12895,0.533474,-0.00452515,0,2.42684e-08,0.00196253,0.00858038,-0.000674426,-0.333333,-0.018517,-0.000272081,-0.00919063,0.000646165,9.45833,28,0,0,0,0,0,-14.5539,1e-05,0.00535248,0.116621,1.46374,0.125208,61867,0.0855875,125.99,0.369816
63,0,0.0602748,-0.000415344,0.0587407,0.234426,0.0401848,0,0.569299,0,1.34067,0.170191,0,0.0768452,0.376864,3.5611,0.475267,0.0553675,0.840573,3.54988,0,0.225979,0,0,0,0,0.00142176,0.324919,0.959717,0.0615827,0.0605414,0.0617101,0.00799966,0.00541398,0.410301,0.0612905,10.6244,-3.01187,3.3267,0.901518,0.561441,-0.894282,-0.115117,0.539322,-0.004747,0,0,0.00259709,0.0114484,-0.000613631,-0.333333,-0.0196552,-0.00027422,-0.00600651,0.000795184,9.91667,20.4167,0,0,0,0,0,-14.5528,3.375e-05,0.00405488,0.0878475,1.50318,0.122572,60466,0.0855972,127.6,0.453453
64,0,0.0598606,-0.000620217,0.0585808,0.228868,0.0400568,0,0.564306,0,1.34256,0.170287,0,0.0767176,0.401781,3.58249,0.479112,0.0633473,0.846099,3.54368,0,0.220294,0,0,0,0,0.00142718,0.32918,0.959172,0.0658728,0.0604355,0.0612779,0.00877029,0.00624908,0.423176,0.0613777,10.8147,-3.18596,3.36156,0.89665,0.557456,-1.06306,-0.105934,0.544205,-0.00653239,0,0,0.00417105,0.0146586,-0.000568492,-0.333333,-0.0281021,-0.000271809,-0.00549708,0.00116965,14.2917,21.8333,0,0,0,0,0,-14.5487,7.59375e-05,0.00376056,0.0828158,1.4676,0.11971,61931,0.0856381,129.41,0.612543
65,0,0.0600861,-0.000761632,0.0588377,0.222712,0.038271,0,0.554284,0,1.34321,0.169151,0,0.0769576,0.417627,3.56825,0.478125,0.0682892,0.851317,3.5426,0,0.21413,0,0,0,0,0.00137773,0.33289,0.960153,0.0628815,0.0608096,0.0614941,0.00849038,0.00591377,0.421766,0.0617747,10.5627,-3.25497,3.37102,0.895888,0.550229,-1.14531,-0.107607,0.547016,-0.00836193,0,0,0.00493803,0.0140605,-0.000567854,-0.333333,-0.0314977,-0.00026673,-0.00570678,0.000963671,16.25,24.0833,0,0,0,0,0,-14.544,2.25e-05,0.00586615,0.0827798,1.47294,0.119014,61750,0.0856488,130.4,0.53722
66,0,0.0608481,-0.000279818,0.0589743,0.226707,0.0389374,0,0.55754,0,1.3383,0.178158,0,0.0767244,0.396838,3.60238,0.480988,0.0629975,0.841416,3.4963,0,0.218614,0,0,0,0,0.00124979,0.335543,0.959175,0.0647544,0.060848,0.0622879,0.00674442,0.00442076,0.408607,0.0615186,10.2417,-3.38134,3.66316,0.89338,0.592783,-0.925004,-0.132447,0.541037,-0.00808085,0,3.37485e-08,0.00370311,0.0114865,-0.000683187,-0.333333,-0.0294185,-0.000267984,-0.00868568,0.000841902,13.3333,26.5,0,0,0,0,0,-14.5429,2.25e-05,0.00651462,0.11129,1.46705,0.121044,61900,0.0856544,127.55,0.322045
67,0,0.0610332,-0.000117795,0.0590759,0.235334,0.0390565,0,0.571938,0,1.33568,0.17735,0,0.0753879,0.379952,3.6041,0.4783,0.0564155,0.837201,3.51305,0,0.227317,0,0,0,0,0.00127119,0.324827,0.958488,0.0621231,0.060854,0.0624724,0.00587814,0.00342041,0.402493,0.061304,10.3986,-3.14696,3.56168,0.897545,0.596359,-0.829801,-0.127781,0.540536,-0.00549823,0,3.58047e-08,0.00240854,0.00924743,-0.000679426,-0.333333,-0.0233615,-0.000273943,-0.00926346,0.000686133,11.75,27.7083,0,0,0,0,0,-14.5417,3.375e-05,0.00663736,0.0769379,1.4735,0.118883,61734,0.085665,127.23,0.318322
