step,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.048,0.0001,-0.000832799,0.0989946,1.21744,0.155725,71589,0.123295,,
1301,0.191582,0.140656,0.0167164,0.0167085,0.39992,0.167697,0.566167,0.143487,0.0212546,0.0435525,0.01314,0.151535,0.00931461,0,0.126017,0.026214,3.37037,0.06282,0.201379,0.0702691,0.548408,4.27956,0.625207,0.612506,0.0533881,0.327195,0.196512,0.157893,0.00265152,0.00265152,0,0,-0.00356141,0.0347717,0.606044,0.472759,0.0117485,0.0219262,0.00259884,0.00121317,0.339719,0.00879265,-3.37455,-8.14378,14.0257,0.304055,1.00557,-7.54334,-0.606061,-0.0745576,0.639313,0.125,11.8333,0,0,6.54167,0,0,-11.0501,0.0001,-1.52594e-05,0.175553,1.43786,0.124276,62929,0.123332,48,1.17248
1302,0.447003,0.481431,0.0167505,0.00897715,0.632908,0.398996,0.8492,0.537907,0.0265162,0.0413804,0.0179905,0.178534,0.0105826,0,0.238038,0.133958,4.27205,0.0661495,0.299998,0.0850775,0.837126,6.7643,0.953847,0.945728,0.0511447,0.285882,0.494084,0.198653,0.686666,0.686666,0,0,-0.00435853,0.0339434,0.948122,0.80173,0.0136648,0.0239296,0.00390384,0.00361668,0.575977,0.0135725,-8.05782,-6.65597,13.9652,0.574355,0.965205,-17.8414,-0.909091,-0.172767,2.21622,0.666667,11,0,0,81.7917,65.5417,0,-11.0461,0.0001,-0.00208,0.0762243,1.57586,0.125455,57781,0.123372,71.01,2.95891
1303,0.369763,0.41196,0.0173343,0.013565,0.57681,0.329121,0.842524,0.459346,0.023392,0.0634667,0.0152802,0.173078,0.0127953,0,0.222076,0.0958823,4.4294,0.0926756,0.295647,0.0855856,0.846687,6.67443,0.962931,0.943837,0.0519294,0.294032,0.402659,0.185775,0.46936,0.46936,0,0,-0.00484994,0.0545078,0.917929,0.789021,0.0134231,0.0230224,0.00388822,0.00300659,0.554344,0.0109275,-7.58505,-14.0208,14.5455,0.611948,1.09681,-12.9367,-0.909091,-0.158527,1.89089,0.583333,6.08333,0,0,5.375,0.708333,0,-11.0455,0.0001,-0.000620128,0.163822,1.57694,0.131813,57529,0.12337,46.38,1.09478
1304,0.459466,0.434813,0.0186386,0.0124138,0.671634,0.399322,0.849527,0.467735,0.0247893,0.048777,0.0164805,0.199332,0.0106287,0,0.236477,0.117141,4.47328,0.0699383,0.300256,0.0838296,0.844421,6.77548,0.956124,0.939611,0.0539558,0.266758,0.491584,0.21849,0.486189,0.486189,0,0,-0.00465203,0.0316835,0.94241,0.805426,0.0126608,0.0232234,0.00408223,0.00285761,0.557372,0.0115869,-6.48402,-9.44332,14.6214,0.563003,1.03809,-15.5906,-0.909091,-0.165256,1.98785,0.541667,25.5,0,0,58.375,59.3333,0,-11.0492,0.0001,-0.000855774,0.0781585,1.54481,0.123648,58918,0.123365,60.84,2.52489
1305,0.431044,0.458258,0.0167685,0.00992643,0.62359,0.373909,0.846219,0.505415,0.0252892,0.0480627,0.0170796,0.177057,0.0109134,0,0.235957,0.121064,4.283,0.0730252,0.297901,0.0840804,0.833616,6.75053,0.956464,0.94567,0.0501471,0.266228,0.470128,0.194993,0.593999,0.593999,0,0,-0.0046005,0.0371625,0.940339,0.805844,0.0132339,0.0231101,0.00389772,0.00355624,0.573362,0.0124939,-7.99465,-8.74158,13.7849,0.596611,0.983958,-16.5442,-0.909091,-0.172141,2.10575,0.375,4.20833,0,0,15.375,15.7083,0,-11.0509,0.0001,-0.0013792,0.122523,1.56052,0.119175,58524,0.123375,55.66,1.57782
1306,0.447939,0.408928,0.0193398,0.0143198,0.672266,0.388588,0.850038,0.438222,0.0252862,0.0508212,0.0166624,0.20419,0.0110516,0,0.231761,0.107349,4.55745,0.0710368,0.299907,0.0856001,0.848396,6.73287,0.955438,0.937339,0.0569176,0.287813,0.477609,0.221876,0.386836,0.386836,0,0,-0.00468238,0.0316155,0.938981,0.792676,0.0131525,0.0241756,0.00404006,0.00255224,0.548398,0.0115755,-6.12328,-9.9208,15.4513,0.544053,1.09916,-14.9336,-0.909091,-0.159733,1.86756,0.416667,21.0833,0,0,43.8333,34.875,0,-11.0517,0.0001,-0.000206159,0.111843,1.56551,0.120029,58321,0.123416,55.58,2.1132
1307,0.450353,0.468352,0.0170375,0.00996943,0.640918,0.393945,0.848011,0.514718,0.0253221,0.044768,0.0171128,0.183167,0.0104077,0,0.239635,0.127425,4.29033,0.0696226,0.29878,0.0836268,0.837147,6.79133,0.957111,0.944798,0.0505566,0.263319,0.491664,0.202745,0.599541,0.599541,0,0,-0.00451524,0.0353062,0.945957,0.810605,0.0129136,0.0229667,0.00400141,0.0034575,0.572139,0.0124741,-7.69596,-7.91499,13.7574,0.582974,0.969201,-17.0575,-0.909091,-0.172531,2.14988,0.5,7.33333,0,0,31.5417,35.0833,0,-11.0501,0.0001,-0.00105701,0.102121,1.53281,0.125397,59283,0.123445,61.83,2.32473
1308,0.445606,0.416478,0.0188002,0.0134412,0.662635,0.383157,0.849272,0.445539,0.0259512,0.0487129,0.0171829,0.199196,0.0112262,0,0.233636,0.107798,4.51228,0.0706925,0.299574,0.0869971,0.845171,6.72784,0.955199,0.939087,0.0556557,0.288735,0.473057,0.217283,0.421304,0.421304,0,0,-0.00457109,0.0334137,0.940067,0.790616,0.013538,0.0245849,0.00387871,0.00265396,0.552046,0.0122297,-6.68441,-9.12353,15.3177,0.547137,1.08589,-15.5654,-0.909091,-0.162386,1.90611,0.25,15.0417,0,0,31.7917,21.4167,0,-11.0479,0.0001,-0.00069894,0.136116,1.55793,0.120977,58552,0.123508,54.51,2.02556
1309,0.460901,0.45583,0.0177398,0.0104611,0.660309,0.399749,0.849688,0.493899,0.0254105,0.0447844,0.0170806,0.192549,0.0104465,0,0.240826,0.123986,4.3509,0.0680318,0.300351,0.084271,0.842443,6.79272,0.955531,0.942523,0.0527977,0.26347,0.49744,0.212285,0.561784,0.561784,0,0,-0.00452588,0.0332549,0.946858,0.807317,0.0128884,0.0232316,0.00405563,0.00320152,0.564603,0.0123444,-7.13791,-8.03943,14.1239,0.569174,0.994718,-16.7876,-0.909091,-0.17042,2.09071,0.791667,12.6667,0,0,41.2917,43.2917,0,-11.0431,0.0001,-0.00110547,0.0948315,1.54605,0.121674,58945,0.123567,60.26,2.30703
