step,Episode_Metrics/bridge/balance_debt,Episode_Metrics/bridge/credible,Episode_Metrics/bridge/credible_best_s,Episode_Metrics/bridge/entry_speed,Episode_Metrics/bridge/failed,Episode_Metrics/bridge/handoff,Episode_Metrics/bridge/missed_goal,Episode_Metrics/bridge/potential,Episode_Metrics/bridge/progress_steps,Episode_Metrics/bridge/quality,Episode_Metrics/onefoot/best_dwell,Episode_Metrics/onefoot/capture_error,Episode_Metrics/onefoot/clearance,Episode_Metrics/onefoot/com_offset,Episode_Metrics/onefoot/com_speed,Episode_Metrics/onefoot/cross_track,Episode_Metrics/onefoot/diagnostic_valid,Episode_Metrics/onefoot/distance,Episode_Metrics/onefoot/dwell,Episode_Metrics/onefoot/head_speed,Episode_Metrics/onefoot/heading_error,Episode_Metrics/onefoot/injected_speed,Episode_Metrics/onefoot/lateral,Episode_Metrics/onefoot/left_contact,Episode_Metrics/onefoot/left_force,Episode_Metrics/onefoot/left_load,Episode_Metrics/onefoot/phase,Episode_Metrics/onefoot/right_contact,Episode_Metrics/onefoot/right_force,Episode_Metrics/onefoot/single_support,Episode_Metrics/onefoot/speed,Episode_Metrics/onefoot/success,Episode_Metrics/onefoot/success_050,Episode_Metrics/onefoot/success_100,Episode_Metrics/onefoot/success_200,Episode_Metrics/onefoot/support_cop_y_offset,Episode_Metrics/onefoot/support_yaw,Episode_Metrics/onefoot/upright,Episode_Metrics/onefoot/waist_axis_alignment,Episode_Metrics/onefoot/waist_axis_error,Episode_Metrics/onefoot/waist_capture_error,Episode_Metrics/onefoot/waist_foreaft_capture,Episode_Metrics/onefoot/waist_foreaft_error,Episode_Metrics/onefoot/waist_front_load,Episode_Metrics/onefoot/waist_pelvis_offset,Episode_Metrics/onefoot/waist_pitch_deg,Episode_Metrics/onefoot/waist_roll_deg,Episode_Metrics/onefoot/waist_roll_error_deg,Episode_Metrics/onefoot/waist_roll_match,Episode_Metrics/onefoot/waist_roll_speed,Episode_Metrics/onefoot/waist_target_roll_deg,Episode_Reward/failure,Episode_Reward/handoff,Episode_Reward/shaping,Episode_Reward/task,Episode_Termination/body_ground,Episode_Termination/fell_over,Episode_Termination/nan_state,Episode_Termination/out_of_terrain_bounds,Episode_Termination/replanted_swing,Episode_Termination/stalled_transfer,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.40901,0.0001,7.86278e-05,1.06203,1.66347,0.214489,52346,0.211273,,
9501,0.507225,0.447218,0.15938,0.536348,0.0236905,0.00392746,0.0236905,0.421246,0.207755,0.615525,0.15938,0.0291423,0.0934441,0.017673,0.492028,0.00809336,0,0.381332,0.0377179,4.11428,0.137607,0.578803,0.0558301,0.490379,5.60015,0.795133,0.875,0.0014819,0.021266,0.447218,0.507906,0,0.0278262,0,0,-0.00458503,0.160995,0.780729,0.451067,0.0231757,0.0314913,0.0109346,0.00612711,0.428961,0.0183579,8.29302,-13.1697,20.1349,0.319385,1.45361,-6.36416,-0.514706,0.0477642,-0.04773,0.43944,2.75,5.16667,0,0,0.583333,5.75,0,-4.41045,0.0001,0.0032037,0.57146,2.43217,0.169418,37786,0.211277,46.04,0.336468
9502,0.888965,0.674737,0.452551,0.611487,0.0167505,0.0118213,0.0167505,0.607049,0.368938,0.691775,0.452551,0.026713,0.100612,0.0179129,0.472566,0.0159994,0,0.593335,0.132051,3.52957,0.162775,0.639525,0.0708274,0.715957,6.6544,0.950089,1,0.00152245,0.0291002,0.674737,0.493706,0,0.370163,0.0254484,0,-0.00589603,0.123099,0.923848,0.630678,0.0209841,0.0276182,0.00563868,0.00332217,0.524683,0.0167536,9.92904,-10.5954,18.6698,0.406013,1.02832,-11.1601,-0.588235,0.211402,-0.108583,1.1722,7.45833,6.20833,0,0,1.5,8.58333,0,-4.41211,0.0001,0.00134851,0.304229,2.14578,0.173029,42394,0.211248,69.05,3.542
9503,1.12088,0.756587,0.781238,0.610799,0.0126,0.0102268,0.0126,0.662996,0.470796,0.670739,0.785995,0.0215361,0.105833,0.0149298,0.42153,0.0203491,0,0.706542,0.256936,3.22177,0.143768,0.64141,0.0622488,0.796178,6.79867,0.968668,1,0.000727866,0.0129776,0.761096,0.43658,0,0.780801,0.317281,0,-0.00621376,0.116375,0.931579,0.673043,0.0183968,0.021745,0.00456315,0.00254038,0.529174,0.0143249,9.93377,-11.5606,15.4526,0.489612,0.820322,-11.4885,-0.588235,0.247088,-0.160898,1.90679,6.33333,5.08333,0,0,0.791667,4,0,-4.41306,0.0001,0.00180616,0.19396,2.17745,0.174799,41791,0.211268,88.33,5.38435
9504,1.23572,0.718606,0.907993,0.612324,0.0110718,0.00819413,0.0110718,0.652399,0.447942,0.649886,0.918562,0.0204029,0.101728,0.0144046,0.381274,0.0263282,0,0.740953,0.281908,3.22865,0.135216,0.64557,0.0633078,0.820027,6.8475,0.972711,1,0.00106662,0.0181469,0.735804,0.394699,0,0.77645,0.507167,0,-0.00617491,0.112087,0.936687,0.700234,0.0173647,0.0198792,0.00355923,0.00206329,0.533312,0.0135671,10.5553,-10.0007,14.9373,0.493604,0.73899,-12.6784,-0.588235,0.238312,-0.19079,2.15555,4.29167,3.58333,0,0,0.75,3.33333,0,-4.40949,0.0001,-0.000121862,0.125128,2.20567,0.163819,41487,0.211336,102.07,5.95105
9505,1.24897,0.636903,0.974931,0.606205,0.0100069,0.00800382,0.0100069,0.593147,0.41637,0.633627,0.986342,0.019889,0.091517,0.0142265,0.334911,0.0308415,0,0.726896,0.262927,3.28171,0.131248,0.637086,0.0630236,0.830586,6.8697,0.971801,1,0.00104507,0.0159835,0.657388,0.346687,0,0.813605,0.567106,0,-0.00593607,0.106735,0.941032,0.739626,0.0159113,0.0187451,0.00343962,0.00216291,0.53678,0.0125856,11.5586,-7.75977,15.2066,0.453057,0.669185,-13.8981,-0.588235,0.245762,-0.19749,2.3037,4.25,2.625,0,0,1.16667,4.58333,0,-4.40461,0.0001,-0.000589839,0.0978114,2.19297,0.157433,41824,0.211412,116.99,6.24216
9506,1.13293,0.600628,1.05192,0.618018,0.00876376,0.00695741,0.00876376,0.558921,0.395122,0.617589,1.05828,0.0174003,0.0908764,0.0126596,0.308676,0.0327103,0,0.760378,0.259536,3.16777,0.125827,0.645093,0.0545146,0.854336,6.94261,0.981068,1,0.00102204,0.0186101,0.615781,0.320328,0,0.884471,0.61844,0,-0.00591862,0.103989,0.945499,0.757282,0.0146565,0.0159683,0.00195204,0.0010423,0.520739,0.0114947,11.0235,-8.18196,14.1677,0.473102,0.591752,-13.8918,-0.588235,0.249904,-0.210522,2.46862,2.75,2.08333,0,0,1.04167,3.95833,0,-4.39781,0.0001,0.00102981,0.078718,2.18652,0.169837,41718,0.211524,135.23,6.69349
9507,1.23287,0.660646,0.849262,0.593049,0.0122712,0.00809462,0.0122712,0.602383,0.428007,0.648119,0.854609,0.0226524,0.0927053,0.0158409,0.368975,0.0264183,0.000152402,0.665656,0.247124,3.27457,0.137229,0.622255,0.0688991,0.81365,6.77393,0.967936,1,0.00148327,0.0168364,0.67154,0.383813,4.57206e-05,0.682479,0.447966,4.57206e-05,-0.00593851,0.110029,0.932921,0.704354,0.0179062,0.0221131,0.00421612,0.00270439,0.538375,0.0141553,11.2557,-8.52508,16.6472,0.437205,0.797022,-13.0947,-0.588208,0.215996,-0.168373,2.05436,1.83333,1.20833,0,0,0.458333,1.91667,113.75,-4.39346,0.0001,0.00460767,0.612865,2.18766,0.174587,41614,0.211525,110.37,5.78615
9508,0.612643,0.557828,0.928895,0.601858,0.0119063,0.00586077,0.0119063,0.515575,0.378346,0.63135,0.933927,0.0167402,0.0863396,0.0121787,0.332134,0.027406,0.00378788,0.64115,0.228231,3.21568,0.109392,0.630097,0.0448209,0.830686,6.9147,0.972487,1,0.00109619,0.00751586,0.566136,0.341114,0,0.725399,0.511952,0,-0.00611884,0.118907,0.94137,0.766869,0.0141445,0.0156035,0.004009,0.00236045,0.529968,0.0107846,11.7449,-9.29315,14.1061,0.470973,0.62423,-13.1562,-0.588235,0.193365,-0.175849,2.22225,2.375,2.625,0,0,0.416667,2.45833,6.16667,-4.39375,0.0001,0.00136427,0.435155,2.03723,0.153387,44875,0.211518,125.86,5.13579
9509,0.467918,0.550927,0.923512,0.60648,0.0102893,0.00694727,0.0102893,0.520722,0.352481,0.626113,0.926972,0.0162307,0.0773304,0.0122112,0.320103,0.0335688,0.00138889,0.675097,0.208777,3.0753,0.109631,0.637518,0.0508141,0.850039,6.97467,0.974072,1,0.00104882,0.0152902,0.553545,0.328596,0,0.716613,0.523478,0,-0.00585722,0.105412,0.949308,0.800129,0.013032,0.0142269,0.00223632,0.00140595,0.533214,0.0101864,12.513,-6.233,14.1126,0.443552,0.509368,-15.0554,-0.588235,0.222234,-0.183705,2.19779,3.5,2.91667,0,0,1.625,6.29167,13.2083,-4.39474,0.0001,0.00642555,0.288411,2.12102,0.164096,43019,0.211534,130.02,5.91745
